SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
503,MODEL1,PARMS,RMB,1.356345338,1.980596978,0.27083488,-0.646075336,2.199513151,0.51955037,1.256115797,-3.134073814,-1
504,MODEL1,PARMS,RMB,1.582605881,-0.722440331,0.137924056,-0.596409299,1.818216019,0.779690171,-1.000371743,1.251667425,-1
505,MODEL1,PARMS,RMB,1.347375226,14.18144069,0.141447276,-0.885141308,3.313778923,-0.228566817,3.320042545,-8.471402724,-1
506,MODEL1,PARMS,RMB,1.317098476,9.127233352,0.200466315,-0.902409866,3.634226538,0.10887159,0.924697407,-1.78649387,-1
507,MODEL1,PARMS,RMB,1.638920205,18.26557229,0.319623975,-1.319276591,4.534460885,-0.522686224,2.790991674,-6.671480989,-1
508,MODEL1,PARMS,RMB,1.383281341,14.04832398,0.286064001,-0.607402089,1.2543017,-0.274000617,2.496180866,-5.351389989,-1
509,MODEL1,PARMS,RMB,1.367836108,14.1539373,0.294112953,-1.275744507,5.058995575,-0.262602413,4.00335456,-10.05197859,-1
510,MODEL1,PARMS,RMB,1.344359011,7.838746553,0.679776309,-2.008080457,7.495532563,0.029998563,2.185289552,-5.616466231,-1
511,MODEL1,PARMS,RMB,1.386215966,21.12314364,0.142725206,-0.64266537,2.468249573,-0.684101993,4.52274351,-10.86563676,-1
512,MODEL1,PARMS,RMB,1.45587693,6.235461665,0.398788219,-1.215567474,3.931582035,0.226574033,2.054507568,-5.917342246,-1
513,MODEL1,PARMS,RMB,1.432442229,12.30671502,0.116029866,-0.194752853,0.603522968,-0.114375211,2.295806411,-4.862432641,-1
514,MODEL1,PARMS,RMB,1.199718622,2.194699405,0.115447086,-0.114598283,0.895484198,0.546056298,0.669439683,-1.729652198,-1
515,MODEL1,PARMS,RMB,1.404350001,2.836743899,0.022993938,-0.278208322,0.779834609,0.578146539,-1.511660309,3.250568341,-1
516,MODEL1,PARMS,RMB,1.473743572,8.430773275,0.534550772,-1.171534335,3.661923914,-0.006456137,3.021349582,-6.460890694,-1
517,MODEL1,PARMS,RMB,1.404748261,-6.523710381,0.077075429,-0.68752849,2.824659037,1.164124363,-1.548641659,2.459236504,-1
518,MODEL1,PARMS,RMB,1.422584206,13.59243524,0.132618436,-0.774762277,3.332496855,-0.181072331,3.118226548,-7.83761265,-1
519,MODEL1,PARMS,RMB,1.439555563,12.09619359,0.119657364,-0.439577921,1.485502923,-0.084033206,2.526094238,-6.132234309,-1
520,MODEL1,PARMS,RMB,1.360502847,3.339623677,0.277152103,-1.130880771,3.364722284,0.475351177,-0.162938575,-0.066580735,-1
521,MODEL1,PARMS,RMB,1.450999837,14.37945984,0.285819248,-1.096695276,3.613238964,-0.264164631,2.386788552,-5.574258128,-1
522,MODEL1,PARMS,RMB,1.460863201,18.51705298,0.433281004,-1.286583339,4.254133136,-0.588424091,3.604144551,-8.51019504,-1
523,MODEL1,PARMS,RMB,1.331465279,-3.262977393,0.296017049,-1.207412489,4.43450491,0.90047518,-1.664487766,3.825600617,-1
524,MODEL1,PARMS,RMB,1.348358327,9.341521786,0.495529568,-1.868250265,7.893498967,-0.014125368,3.494455645,-9.238174136,-1
525,MODEL1,PARMS,RMB,1.516280273,6.424470336,0.1649112,-0.983630612,3.029234817,0.308750577,-0.224094129,0.227773037,-1
526,MODEL1,PARMS,RMB,1.368652408,2.997467715,0.140309842,-0.263005373,0.342801989,0.5025983,-0.322326025,1.395357635,-1
527,MODEL1,PARMS,RMB,1.477136812,9.729619702,0.049129878,-0.402600388,0.564545057,0.105779402,1.51997479,-3.561995731,-1
528,MODEL1,PARMS,RMB,1.480871148,5.797435796,0.096271266,-0.513618506,2.689395112,0.341682715,0.854411648,-2.605509949,-1
529,MODEL1,PARMS,RMB,1.408552008,-2.696099321,0.178492601,-0.852573158,2.708754155,0.881605319,0.430065694,-2.809920013,-1
530,MODEL1,PARMS,RMB,1.426495173,10.94220699,0.456866106,-0.964928503,3.372551892,-0.126297264,3.0447035,-7.493245579,-1
531,MODEL1,PARMS,RMB,1.402263859,10.94634035,-0.108569755,0.271399986,-1.67269286,0.049723432,2.345556809,-5.994212439,-1
532,MODEL1,PARMS,RMB,1.428959763,3.802293389,0.205657957,-0.948285235,3.349040248,0.460993428,-0.148682842,0.192569778,-1
533,MODEL1,PARMS,RMB,1.359375369,14.15941493,-0.253421263,0.99469144,-3.435398133,-0.141261782,2.815699045,-6.781964189,-1
534,MODEL1,PARMS,RMB,1.67741168,23.9119961,0.322715075,-1.068804104,3.105933492,-0.905579981,3.194295993,-6.671393716,-1
535,MODEL1,PARMS,RMB,1.440062941,-3.126466817,0.171374447,-0.828374215,3.025464352,0.918772684,-1.399316891,2.893691947,-1
536,MODEL1,PARMS,RMB,1.415706265,8.203645688,0.136750064,-0.454437753,1.269978541,0.147158318,3.45862945,-9.182911915,-1
537,MODEL1,PARMS,RMB,1.353419502,-2.806389623,0.417828849,-1.087662121,3.562099429,0.810318177,-0.832081491,1.104643482,-1
538,MODEL1,PARMS,RMB,1.269564901,8.944089482,-0.129573203,-0.134618947,0.786047985,0.200619337,1.513560468,-3.479946103,-1
539,MODEL1,PARMS,RMB,1.602488186,8.315599749,0.187734391,-0.509329949,0.451141476,0.15756234,0.811227419,-2.34232282,-1
540,MODEL1,PARMS,RMB,1.412261518,3.046073449,0.409118896,-1.257396631,4.359601827,0.422800514,1.080737838,-3.217720791,-1
541,MODEL1,PARMS,RMB,1.505825548,5.963567122,0.178002774,-0.396903592,1.256039655,0.295640178,1.180013236,-3.700294176,-1
542,MODEL1,PARMS,RMB,1.376662669,23.23455649,0.191534102,-0.482861117,0.934199158,-0.830416658,3.318653282,-6.590660173,-1
