SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB1
398,MODEL1,PARMS,RB1,1.094447159,-7.650125854,0.183553391,-0.254435321,0.510143002,0.69605249,-1.17889628,2.882651433,-1
399,MODEL1,PARMS,RB1,1.038445117,-12.06934607,0.239455414,-0.710638526,3.057297113,0.983676664,-2.14710809,4.870138316,-1
400,MODEL1,PARMS,RB1,0.951623175,0.947172949,0.170497612,-0.662640699,2.579854457,0.145317452,0.939883792,-2.239422122,-1
401,MODEL1,PARMS,RB1,0.858846803,-6.335828009,0.185009019,-0.202448039,0.630087021,0.601898726,-0.572077068,0.822256745,-1
402,MODEL1,PARMS,RB1,0.849694304,-1.104222117,0.222563464,-0.246721519,0.83160499,0.236962094,1.317892617,-3.164849007,-1
403,MODEL1,PARMS,RB1,0.878512697,-3.127620798,0.164535769,-0.335813409,1.31858657,0.384457913,0.774568479,-2.054806285,-1
404,MODEL1,PARMS,RB1,0.89357561,-3.209813154,0.125529484,-0.284220905,0.84086095,0.422337091,0.07721469,-0.436521576,-1
405,MODEL1,PARMS,RB1,0.881811956,-5.039950234,0.167824914,-0.462000613,1.513601675,0.544161028,-0.637049156,1.147398867,-1
406,MODEL1,PARMS,RB1,0.940518486,-10.18557919,0.033916454,0.286160736,-1.200308023,0.900372605,-1.629988583,3.101120778,-1
407,MODEL1,PARMS,RB1,0.882009703,-9.262418516,0.210251609,-0.663862751,2.120471541,0.811094016,-1.596425363,3.185270282,-1
408,MODEL1,PARMS,RB1,0.881105884,1.771112741,0.139377683,-0.113537968,-0.071910284,0.070002049,1.726760655,-3.984718359,-1
409,MODEL1,PARMS,RB1,0.891316544,-0.605817509,0.15216367,-0.176323682,0.162248564,0.232668114,1.040473357,-2.805854615,-1
410,MODEL1,PARMS,RB1,1.018619924,1.62639624,0.060906528,0.013522866,-0.090933523,0.130809492,-0.460503,2.17466057,-1
