SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LMB
156,MODEL1,PARMS,LMB,1.192485287,1.170102968,0.315017271,-0.621895244,2.533351574,0.44817492,-0.678698121,1.76410504,-1
157,MODEL1,PARMS,LMB,1.17278689,13.72102769,0.198759135,0.088453539,-0.462230534,-0.349512139,2.229747096,-4.85302488,-1
158,MODEL1,PARMS,LMB,1.135581936,3.88596338,0.228894341,-0.387749458,0.857780812,0.297407436,0.621410367,-2.072052741,-1
159,MODEL1,PARMS,LMB,1.186367787,9.155341404,0.240967699,-0.650785647,2.737286336,-0.04546954,2.007289241,-5.665475663,-1
160,MODEL1,PARMS,LMB,1.228393667,15.89045826,0.427595615,-0.8699885,2.830687982,-0.550328031,3.218313118,-7.285680507,-1
161,MODEL1,PARMS,LMB,1.251576465,-0.578268829,0.222915072,-0.356044019,1.322635982,0.588510033,-0.911712345,2.116890339,-1
162,MODEL1,PARMS,LMB,1.234755193,5.936877172,0.399584934,-0.80135254,3.050644659,0.122011383,-0.62601543,3.07751779,-1
163,MODEL1,PARMS,LMB,1.222305775,4.45912634,0.197001484,-0.396920697,1.600243809,0.269381747,0.535848924,-1.01822816,-1
164,MODEL1,PARMS,LMB,1.245654291,2.561937474,0.627277526,-1.452946603,5.290756767,0.278872015,-0.05266018,-0.394110516,-1
165,MODEL1,PARMS,LMB,1.197697273,-1.806471339,0.684568758,-1.479501542,5.24944552,0.508056059,1.505171277,-4.455682057,-1
166,MODEL1,PARMS,LMB,1.315443,4.636848679,0.423448135,-0.870997432,2.793630754,0.200983612,-0.005288492,-0.114934142,-1
167,MODEL1,PARMS,LMB,1.266317351,5.469368554,0.292406336,-0.973963167,3.48272345,0.196079115,0.776739833,-2.907649217,-1
168,MODEL1,PARMS,LMB,1.332142126,4.850577603,0.392569411,-1.122176778,4.116299626,0.207517042,-0.35140306,0.930927485,-1
