SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
689,MODEL1,PARMS,RUL,1.164149045,7.712922485,0.199835286,-0.356915597,1.215582946,-0.127579303,1.336314215,-3.146596249,-1
690,MODEL1,PARMS,RUL,1.28565719,-5.89971826,0.367342476,-0.995062337,3.532692204,0.735136532,-1.790973336,3.301785733,-1
691,MODEL1,PARMS,RUL,1.006675221,9.647047681,0.110476813,-0.364252163,1.62952003,-0.219812493,1.35897556,-2.877731274,-1
692,MODEL1,PARMS,RUL,1.096194935,-2.205638983,0.159209039,-0.170844166,0.78292399,0.535946088,-1.835979923,5.199009231,-1
693,MODEL1,PARMS,RUL,1.08915452,10.07959318,0.175345159,-0.343181691,0.903004866,-0.276198391,1.332851843,-2.143122408,-1
694,MODEL1,PARMS,RUL,1.144905189,2.86342956,0.137423213,-0.277011247,0.759782508,0.216415481,0.015272386,0.241184834,-1
695,MODEL1,PARMS,RUL,1.109818765,-6.309226859,0.27319874,-0.003525182,-0.802937579,0.742974824,-1.337815886,2.868459429,-1
696,MODEL1,PARMS,RUL,1.147445315,1.167848851,0.049171872,-0.218767873,1.165844092,0.363286848,-0.581561333,0.647219618,-1
697,MODEL1,PARMS,RUL,1.105848464,4.606517419,0.321463016,-0.558568157,1.95492472,0.019483845,1.012014977,-2.105409454,-1
698,MODEL1,PARMS,RUL,1.093571137,6.622984463,0.234137554,-0.559551606,1.666104493,-0.077183722,2.085974391,-5.234769077,-1
699,MODEL1,PARMS,RUL,1.024898184,-8.352819135,0.286462485,-0.554082158,1.964706289,0.886137912,-1.88816357,4.803537099,-1
700,MODEL1,PARMS,RUL,1.080047841,14.84503819,0.160053692,-0.125246627,0.317408146,-0.585287277,1.677673816,-2.464410287,-1
701,MODEL1,PARMS,RUL,1.100084234,5.098348131,0.320080866,-0.720435132,2.835982583,-0.005360637,0.552590073,-0.229876885,-1
702,MODEL1,PARMS,RUL,1.139967932,2.29224517,0.205232251,-0.563720857,1.834927455,0.228591833,0.927138751,-1.822142169,-1
703,MODEL1,PARMS,RUL,1.129125326,-2.528419108,0.304617247,-0.790133858,3.402744491,0.505731528,-0.108490342,-0.274157334,-1
