SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
274,MODEL1,PARMS,RLL,0.876043634,4.3253258,-0.03291407,0.294113429,-1.576674258,0.113623833,-0.061928303,-0.189830714,-1
275,MODEL1,PARMS,RLL,0.870823649,-1.742438606,0.214174119,-0.692542664,2.918847049,0.444691593,-0.360773936,0.457456927,-1
276,MODEL1,PARMS,RLL,0.86920383,2.351880729,-0.140393659,0.222957185,-0.634100112,0.291298091,-0.121473091,-0.322337087,-1
277,MODEL1,PARMS,RLL,0.9405254,5.471279774,-0.075265483,0.082649773,-0.658035043,0.059654819,0.943580087,-2.9497879,-1
278,MODEL1,PARMS,RLL,0.933259452,-7.254705503,0.028229689,-0.377501585,1.261394943,0.877864353,-1.758410771,2.802526331,-1
279,MODEL1,PARMS,RLL,0.87987943,-0.096574005,0.102499603,-0.300776171,0.544464982,0.380967421,-0.524605476,0.907167982,-1
280,MODEL1,PARMS,RLL,0.910327929,5.575450181,-0.195568247,0.543494969,-2.187350428,0.069942482,1.593959943,-4.421266054,-1
281,MODEL1,PARMS,RLL,0.85473225,-4.872522391,0.042489107,-0.389892107,1.644350907,0.707912211,-1.306110062,2.513272726,-1
282,MODEL1,PARMS,RLL,0.962045568,-3.413393837,-0.023105619,0.153456105,-1.411171396,0.622447,-0.806423459,1.111292395,-1
283,MODEL1,PARMS,RLL,0.967508875,-2.325862311,0.106402404,-0.117348954,-0.191921449,0.517324591,-1.045664269,2.051090016,-1
284,MODEL1,PARMS,RLL,0.874769942,1.25950899,0.004088354,-0.06374833,0.542295329,0.302523893,0.308118409,-1.110529206,-1
285,MODEL1,PARMS,RLL,0.903866845,2.599169345,0.00688122,-0.209648168,0.539014858,0.234774818,0.136046504,-0.994054298,-1
286,MODEL1,PARMS,RLL,0.850097812,5.113813971,0.277644514,-0.33600109,0.689365184,-0.026716557,0.399848694,-1.166074823,-1
287,MODEL1,PARMS,RLL,0.879064497,3.678913205,-0.004000074,-0.120524325,0.570180256,0.154092635,0.631003232,-2.26571582,-1
288,MODEL1,PARMS,RLL,0.924228033,0.768779917,0.084198661,-0.414433301,1.541903701,0.328664261,-0.49100395,0.883389918,-1
289,MODEL1,PARMS,RLL,0.83940626,-2.107707859,-0.195063368,0.296311572,-0.625820135,0.592124992,-0.674612109,0.871669082,-1
290,MODEL1,PARMS,RLL,0.9008971,1.14120257,0.143168708,-0.500102745,1.608572787,0.277880604,-0.655622909,2.082978038,-1
291,MODEL1,PARMS,RLL,0.911251958,2.235721649,0.097225696,-0.562143988,2.760549065,0.221860211,0.533688423,-2.127485079,-1
292,MODEL1,PARMS,RLL,0.900773178,-4.962822203,0.037394118,-0.13382438,0.372123535,0.708015336,-1.403019233,2.627633277,-1
293,MODEL1,PARMS,RLL,0.887759859,-5.065876008,0.083401435,-0.224572661,0.44871362,0.705163995,-1.099630737,1.832078033,-1
294,MODEL1,PARMS,RLL,0.84590003,0.355432085,0.119245569,-0.542215533,2.566995444,0.336261085,-0.029452963,-0.393220251,-1
295,MODEL1,PARMS,RLL,0.896439067,-1.153057689,0.202591732,-0.491966328,2.277952753,0.404651686,-0.263609625,-0.204937212,-1
296,MODEL1,PARMS,RLL,0.877878695,-0.752217498,0.006805835,0.018907269,-0.125918295,0.44512334,-1.324534199,2.951867968,-1
