SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
859,MODEL1,PARMS,BronInt,1.371937243,4.975420535,-0.006685764,0.337518039,-1.58276287,0.057346162,0.785517666,-2.097737705,0.824505335,-2.111836781,4.564622078,-1
860,MODEL1,PARMS,BronInt,1.192993919,-8.92408788,-0.014687818,0.39652081,-1.883179733,0.773125269,-1.45248124,2.466861827,1.247570946,-3.354178885,7.416402936,-1
861,MODEL1,PARMS,BronInt,1.201664013,-1.901049546,0.391882611,-0.937536307,2.574074708,0.431746678,0.719686285,-3.825074947,0.567420662,-1.009810064,2.221522395,-1
862,MODEL1,PARMS,BronInt,1.305191892,-2.828378709,0.269105276,-0.362637463,0.474432344,0.377371407,-1.923941339,4.24007405,1.037892811,-1.156927714,1.237244173,-1
863,MODEL1,PARMS,BronInt,1.342135256,25.22357482,0.026390069,0.318296758,-1.155232149,-1.226085848,3.486863071,-6.068696403,0.979750284,-3.571470446,8.039059133,-1
864,MODEL1,PARMS,BronInt,1.304043803,16.84445463,-0.008026085,0.122815355,-0.76061512,-0.518995697,2.33289066,-3.871022788,0.251081018,-0.123972904,-0.290946714,-1
865,MODEL1,PARMS,BronInt,1.212546471,-14.77833752,0.472895952,-0.768307702,1.64591791,1.345634437,-3.523673844,6.470368434,-0.024794661,0.47249477,-0.740588506,-1
866,MODEL1,PARMS,BronInt,1.257027156,-15.67660744,-0.034151491,0.432109429,-2.412821459,1.566611146,-5.21506063,11.12708435,-0.090592297,1.034532024,-2.902161484,-1
867,MODEL1,PARMS,BronInt,1.298736099,7.200053683,0.258397776,-1.053408976,4.673675761,-0.090860691,-0.052288637,1.058662111,0.61857476,-0.882574597,1.268210257,-1
868,MODEL1,PARMS,BronInt,1.253774935,4.138104722,0.613451444,-1.235870187,4.435477866,0.0956249,-0.400338998,1.96890439,0.211502921,-0.643217385,1.306392615,-1
869,MODEL1,PARMS,BronInt,1.208273179,9.934697496,0.144712087,-0.214536786,0.171762318,-0.321422116,2.12220959,-4.871286917,0.967825917,-2.923388517,6.191685059,-1
870,MODEL1,PARMS,BronInt,1.172629339,11.90229691,-0.121145887,0.447507675,-2.001051157,-0.154989581,-0.266161025,1.293930807,0.237496763,-0.834046456,2.194383592,-1
871,MODEL1,PARMS,BronInt,1.235811554,12.630142,0.272388431,-0.508786492,1.346300277,-0.371776493,0.582123057,-0.813362378,0.445944829,-0.563747822,0.672831868,-1
872,MODEL1,PARMS,BronInt,1.299293796,14.92435524,0.374337881,-0.89576517,3.537181767,-0.515178253,1.51543812,-3.027622838,0.344303447,-0.16350857,-0.081777604,-1
873,MODEL1,PARMS,BronInt,1.297166386,-10.27198534,0.160147533,-0.104461471,0.219343748,0.97825398,-0.379387828,-2.27348185,0.657761041,-2.114896391,5.436186436,-1
874,MODEL1,PARMS,BronInt,1.151382375,-8.597065018,0.006636908,0.229864569,-1.192903403,0.925351246,-2.767940931,5.944689521,0.610944736,-1.786342114,4.17978298,-1
875,MODEL1,PARMS,BronInt,1.21618815,8.629947242,0.196650462,-0.375245521,1.208364289,-0.007625414,0.681180009,-1.9769994,0.022704774,0.665630639,-1.678852388,-1
