SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
297,MODEL1,PARMS,LLB6,1.175873929,-0.378252438,0.369870251,-1.081672779,3.946451639,0.399721035,-2.337570467,5.004694291,0.146148307,0.614307393,-1.362076155,-1
298,MODEL1,PARMS,LLB6,1.082312623,3.344526488,0.441847837,-1.282551214,4.345227233,0.061066924,-1.805539399,4.164625821,0.505646469,0.408379469,-1.58371388,-1
299,MODEL1,PARMS,LLB6,1.073882056,-3.66064426,0.113509269,-0.037590278,-0.982333463,0.614906609,-3.341033409,7.470907591,0.287955211,0.746003204,-2.056425887,-1
300,MODEL1,PARMS,LLB6,1.115621103,8.652085313,0.286603624,-0.424833198,1.389438266,-0.059374631,-2.222225449,6.653997891,-0.097884426,2.178459992,-6.077362016,-1
301,MODEL1,PARMS,LLB6,1.204326982,7.707517866,0.289249195,-0.839292251,2.981896002,-0.033291163,-0.480476077,1.417889398,-0.004578561,1.255589378,-3.025381519,-1
302,MODEL1,PARMS,LLB6,0.972735482,3.52767508,0.190730119,-0.379169003,1.307207874,0.252581982,-1.187035032,2.429962166,-0.038271721,1.092032415,-2.64018133,-1
303,MODEL1,PARMS,LLB6,1.158040168,1.61306571,0.638773588,-2.471180859,9.452982963,0.132461868,-1.414044432,2.790218053,0.42728939,1.027714693,-3.18839622,-1
304,MODEL1,PARMS,LLB6,1.091135605,7.281596105,0.205818828,-0.834269603,3.106206034,-0.006835745,-1.374397762,3.547766268,0.16528004,0.376077046,-0.776416921,-1
305,MODEL1,PARMS,LLB6,1.085912966,5.90189569,0.391015129,-1.194576942,4.20368252,-0.063437831,-1.879358967,4.947562063,0.424030731,0.796736617,-2.560923662,-1
306,MODEL1,PARMS,LLB6,1.082800195,0.051368677,0.134768984,-0.65650487,2.747125671,0.413712783,-2.074434856,4.617289949,0.267694617,0.400146656,-1.644021347,-1
307,MODEL1,PARMS,LLB6,1.183749414,12.19930003,0.579369662,-1.988334689,7.612826165,-0.157750945,-1.287000047,3.714769107,-0.719960923,3.592319511,-8.462266496,-1
308,MODEL1,PARMS,LLB6,1.138945957,0.181841325,0.373450288,-0.929872425,2.900073582,0.332212428,-1.604041673,3.799237676,0.219875769,0.710476398,-1.981139646,-1
309,MODEL1,PARMS,LLB6,1.219351156,23.50279754,0.377196513,-1.0532863,3.565684347,-0.793584857,3.040382259,-6.34113806,-0.902272037,3.884859216,-8.524798854,-1
310,MODEL1,PARMS,LLB6,1.096964274,-7.127328937,0.193108724,-0.315444353,0.412623925,0.749633477,-3.231579776,7.319303392,0.529520224,-0.780689137,1.429588615,-1
311,MODEL1,PARMS,LLB6,1.037021555,-6.02998522,0.071859203,-0.47311099,2.489010678,0.858911288,-5.571533795,13.79174575,0.031833032,2.075593732,-5.944384407,-1
312,MODEL1,PARMS,LLB6,1.059375446,5.728589366,0.236698838,-0.772558863,3.24669639,0.089937684,-0.287716242,0.729121572,0.059890681,0.810860488,-2.101822553,-1
313,MODEL1,PARMS,LLB6,1.103325851,-4.179354889,0.389609025,-1.337280149,5.198475397,0.741477551,-3.233606211,7.120632498,-0.25994512,2.409629056,-6.001569227,-1
314,MODEL1,PARMS,LLB6,0.928245264,3.493357184,0.325697367,-1.212170755,4.554977808,0.037014063,-1.639353731,4.07545332,0.662058376,0.354241104,-1.96398552,-1
315,MODEL1,PARMS,LLB6,1.043576703,7.541104794,0.134095001,-0.158792408,0.205744386,0.037413657,-0.768555622,2.010733748,-0.128425713,1.964745818,-4.939540167,-1
316,MODEL1,PARMS,LLB6,1.24361431,15.09513832,0.36563824,-0.888252909,2.547302142,-0.628324544,0.618036702,-0.599458616,0.444612756,0.571655131,-2.184394366,-1
317,MODEL1,PARMS,LLB6,1.095190731,0.506610933,0.415851729,-1.257179443,5.253840004,0.372519398,-1.495765777,2.708720725,-0.03671721,1.439054551,-3.224981529,-1
318,MODEL1,PARMS,LLB6,1.253192329,11.09359158,0.018487251,-0.104275731,0.280223408,-0.20284287,0.163466202,-0.268550249,0.05812135,1.94655911,-5.165999449,-1
319,MODEL1,PARMS,LLB6,1.197962352,2.393148081,0.14327336,-0.72095339,3.190932309,0.319680447,-1.191301055,2.399139271,-0.019971764,1.83107558,-4.661645871,-1
320,MODEL1,PARMS,LLB6,1.243083196,9.055472676,0.208831852,-0.58625585,2.272632885,0.084356504,-1.1070134,3.325245109,-0.685236453,3.569383275,-8.483358617,-1
321,MODEL1,PARMS,LLB6,1.18927307,0.834333809,0.437775097,-0.901699296,3.399438223,0.242463087,-2.289455898,5.707150304,0.286647468,0.853585394,-2.446283798,-1
