SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
676,MODEL1,PARMS,RLL,1.035960395,11.38929622,-0.12994357,0.101972367,-0.596843846,-0.322199161,1.308939311,-2.430097752,0.230929689,-0.550017897,1.109112498,-1
677,MODEL1,PARMS,RLL,1.185601558,9.500958327,0.15796368,-0.9283316,3.699261799,-0.24813814,0.434156285,-0.131486255,0.176138142,-0.236478139,0.28892651,-1
678,MODEL1,PARMS,RLL,1.088600337,7.636036731,0.176764172,-0.580584408,0.75657876,-0.121783373,0.198121869,-0.188758638,-0.008552856,1.216450268,-3.191622661,-1
679,MODEL1,PARMS,RLL,0.961225341,15.05918968,0.190622231,-0.925970119,3.171498472,-0.50259193,2.131121843,-5.357055427,-0.241707516,1.422552593,-2.784459506,-1
680,MODEL1,PARMS,RLL,0.930721745,16.46328233,-0.091331702,-0.171351041,0.180752723,-0.574540276,2.002331079,-4.462868692,-0.015769974,1.005179149,-2.54247341,-1
681,MODEL1,PARMS,RLL,0.952666758,14.32101831,-0.018103456,-0.157832719,-0.343664402,-0.447443544,1.206782174,-2.331190031,-0.079035288,1.44255251,-3.552577819,-1
682,MODEL1,PARMS,RLL,0.971281866,14.14210289,0.022137498,0.402485205,-2.786881766,-0.437761873,1.816798028,-3.58208234,-0.308087882,2.529470809,-5.957225021,-1
683,MODEL1,PARMS,RLL,1.01949242,0.425848856,-0.035146166,-0.208960159,0.176926025,0.55723774,-1.129652165,1.725969701,-0.598256111,2.116523704,-4.605427652,-1
684,MODEL1,PARMS,RLL,0.968335984,1.676539154,0.034716953,-0.533012751,1.823513277,0.278949059,-2.033601827,4.939129916,0.098402248,0.528373089,-1.670805526,-1
685,MODEL1,PARMS,RLL,0.925479004,4.260854528,0.018606913,-0.199612096,0.405130121,0.082265757,-0.000339136,-0.488465478,0.1991211,0.147142001,-0.883433264,-1
686,MODEL1,PARMS,RLL,1.029228877,-4.123323265,0.259194323,-1.372132471,5.186566926,0.636212964,-1.938102261,3.042622753,-0.099922503,0.379650903,-0.203082548,-1
