SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
778,MODEL1,PARMS,RB4_5,0.813369387,3.895894632,-0.00416579,-0.261130133,0.963040395,0.039887918,-0.465896078,0.896174772,0.349219007,-0.609770242,1.21629653,-1
779,MODEL1,PARMS,RB4_5,0.865822337,8.919186635,-0.031903705,-0.065243102,-0.335089578,-0.374017317,1.53257459,-3.624721468,0.790210391,-2.477539113,5.28641767,-1
780,MODEL1,PARMS,RB4_5,0.913719214,17.60534374,0.046235113,-0.121747315,0.032406882,-0.893901468,3.076062866,-6.97649847,0.566398933,-0.738595206,1.343451659,-1
781,MODEL1,PARMS,RB4_5,0.835851757,2.127787943,0.091585965,-0.047785938,-1.089839142,-0.005235182,-1.037294763,2.16268123,0.740469996,-1.256575496,2.59837673,-1
782,MODEL1,PARMS,RB4_5,0.844476,7.857507526,0.110922465,-0.437293891,1.619847895,-0.316229476,1.057453058,-2.191335994,0.633366795,-1.652629885,3.333486259,-1
783,MODEL1,PARMS,RB4_5,0.924655829,9.962403925,-0.044790562,0.192375088,-1.405412081,-0.357054573,0.795591735,-1.442145814,0.415545535,-0.794127699,1.559297729,-1
784,MODEL1,PARMS,RB4_5,0.873311372,-0.807985359,0.193000032,-0.672042226,1.999909084,0.235538688,-1.025418596,2.072213637,0.508227153,-1.526463682,3.36244705,-1
785,MODEL1,PARMS,RB4_5,0.816179313,-0.172216752,0.011416461,-0.288851212,1.071344411,0.263992433,-2.529342355,6.242128688,0.468785565,-1.120805104,2.445054048,-1
786,MODEL1,PARMS,RB4_5,0.825693357,6.166566556,-0.124522119,0.289534206,-1.774599889,-0.11467545,0.461961831,-1.044297178,0.531246433,-1.706441714,3.864602476,-1
787,MODEL1,PARMS,RB4_5,0.811839941,8.560516337,-0.001249807,-0.096129125,-0.665309376,-0.226648474,0.710457323,-1.999762186,0.302309929,-0.914183484,2.483356934,-1
788,MODEL1,PARMS,RB4_5,0.833290095,14.22203155,-0.202870559,0.32467142,-1.262213405,-0.58293727,1.965806567,-4.743276962,0.53246638,-1.890654229,4.767736892,-1
789,MODEL1,PARMS,RB4_5,0.849084297,-2.446244902,0.318142421,-0.866114226,2.673339772,0.241813184,0.281161376,-1.254844748,0.714731596,-2.786576677,6.234889905,-1
