SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
458,MODEL1,PARMS,BronInt,1.235005624,5.886186916,0.207945868,-0.402192683,1.315232576,0.170603831,-0.058821352,0.482572705,-1
459,MODEL1,PARMS,BronInt,1.224599805,21.1340371,0.05498594,0.381167973,-1.599700315,-0.734825757,3.358519844,-6.692195246,-1
460,MODEL1,PARMS,BronInt,1.14612857,5.196123624,0.224363501,-0.322420712,0.670324262,0.210951577,-0.073215271,0.801142063,-1
461,MODEL1,PARMS,BronInt,1.215599476,3.881996945,-0.064363307,0.200974736,-0.57790918,0.382868683,-2.015321273,5.092580806,-1
462,MODEL1,PARMS,BronInt,1.208173376,-4.019881038,0.495279484,-1.088432664,3.624980982,0.675578506,-0.16642719,-0.601594387,-1
463,MODEL1,PARMS,BronInt,1.326310879,-8.934528715,0.138164849,-0.35405643,1.393424464,1.087493926,-2.813634609,6.650578331,-1
464,MODEL1,PARMS,BronInt,1.177557956,-3.536443526,0.349138282,-0.468837125,1.812506555,0.690441624,-1.529949472,3.010698167,-1
465,MODEL1,PARMS,BronInt,1.327503217,2.228806111,0.191873084,-0.125624974,-0.31128629,0.404638415,-1.917341573,5.012068219,-1
466,MODEL1,PARMS,BronInt,1.160497607,10.3622952,-0.205394048,0.302421906,-0.687429834,0.025932966,0.804947199,-1.498225237,-1
467,MODEL1,PARMS,BronInt,1.399504862,5.72763615,0.080985009,0.101853303,-1.236718234,0.209867442,0.629789403,-1.842191307,-1
468,MODEL1,PARMS,BronInt,1.220946182,9.892141451,0.284096056,-0.355170493,0.149099007,-0.09161806,1.00579098,-1.781850261,-1
469,MODEL1,PARMS,BronInt,1.193384688,-16.2286588,0.080552035,0.635622855,-4.285596428,1.540589595,-5.231617821,11.80925749,-1
470,MODEL1,PARMS,BronInt,1.285111447,12.72970884,0.274284226,-0.352492665,1.221989568,-0.271332205,0.986807317,-1.568075275,-1
