SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LUL
154,MODEL1,PARMS,LUL,1.233418868,2.977821743,0.129899241,-0.645897999,3.220536,0.321009278,-1.252119478,3.302439703,-1
155,MODEL1,PARMS,LUL,1.078924582,10.95935284,-0.239482352,0.319825695,-0.627010562,-0.076848771,0.821806238,-1.200592904,-1
156,MODEL1,PARMS,LUL,1.083532582,-8.911650867,0.104996833,0.199430447,-0.539122157,1.01663814,-3.070888038,6.679517633,-1
157,MODEL1,PARMS,LUL,1.098235755,-7.242896252,0.062160526,-0.261084505,0.957971621,0.945651873,-2.253587713,5.025829795,-1
158,MODEL1,PARMS,LUL,1.10946574,-8.249261698,0.169572186,-0.383900863,2.131051932,0.965818294,-3.545288846,8.292963603,-1
159,MODEL1,PARMS,LUL,1.181933208,1.785168597,-0.029933223,0.381342719,-1.173137555,0.39619605,-0.507132072,1.187291169,-1
160,MODEL1,PARMS,LUL,1.137572398,16.94596058,0.091627611,0.282723178,-1.397142868,-0.557319759,1.751966969,-2.937547717,-1
161,MODEL1,PARMS,LUL,1.112276725,14.75851372,-0.003285803,0.227758558,-0.964135379,-0.386573401,0.782431873,-0.527463191,-1
162,MODEL1,PARMS,LUL,1.093060005,8.429424924,0.070553806,-0.04888621,0.613480388,-0.00845159,0.263717617,-0.877887363,-1
163,MODEL1,PARMS,LUL,1.151579145,8.605080751,0.108851318,-0.052636954,0.288317047,-0.043989558,0.518683734,-1.445698093,-1
164,MODEL1,PARMS,LUL,1.159618243,11.02235922,-0.00114219,0.36825971,-1.418352861,-0.168105829,0.0143481,1.18728494,-1
165,MODEL1,PARMS,LUL,1.199309538,6.998551703,-0.144426708,0.597012686,-1.997376716,0.134084309,-1.068504819,2.808232105,-1
166,MODEL1,PARMS,LUL,1.063209976,14.64349898,0.133784796,0.139729008,-0.895627223,-0.425414217,1.887400355,-3.317917515,-1
167,MODEL1,PARMS,LUL,1.122506502,9.368980618,-0.015154705,0.006866396,0.647241582,-0.032817601,-0.321962177,0.920088159,-1
168,MODEL1,PARMS,LUL,1.169102776,4.253051309,0.084621557,-0.129574839,1.098098731,0.227952192,-0.255756769,0.751913218,-1
169,MODEL1,PARMS,LUL,1.145803987,21.74013537,0.19436605,0.063015791,-0.004062584,-0.880527436,2.872408641,-4.916746431,-1
170,MODEL1,PARMS,LUL,1.055461368,9.493566667,-0.036203317,0.318325216,-0.986000088,-0.051746491,0.284429755,-0.202266756,-1
171,MODEL1,PARMS,LUL,1.049418307,0.932384473,-0.2262243,1.044766962,-4.493925597,0.513663919,-1.332199866,3.263581297,-1
172,MODEL1,PARMS,LUL,1.133769384,2.062936939,-0.233681209,0.607521211,-2.000378661,0.465055709,-2.39999223,6.330776124,-1
173,MODEL1,PARMS,LUL,1.198221245,-5.972550871,0.030792285,-0.248311166,0.91287039,0.881697092,-2.415770592,4.963549742,-1
174,MODEL1,PARMS,LUL,1.159437992,1.756076062,0.029124857,0.257029087,-1.103563113,0.393813175,-1.289800665,3.475211488,-1
175,MODEL1,PARMS,LUL,1.06332972,-1.863420379,0.085805276,-0.321758219,1.767893812,0.624009556,-2.070115482,4.734178082,-1
176,MODEL1,PARMS,LUL,1.158729759,2.119171939,0.193846227,-0.130674149,0.342728338,0.326877782,-0.71342674,1.78972224,-1
177,MODEL1,PARMS,LUL,1.121808674,-4.646969309,0.219166884,-0.270941935,1.792204006,0.715366294,-1.55096749,3.318365739,-1
178,MODEL1,PARMS,LUL,0.999966215,18.22269432,-0.268861555,1.068718896,-3.651794807,-0.534369846,1.421585755,-2.037077786,-1
179,MODEL1,PARMS,LUL,1.088841705,-6.334658116,0.19854062,-0.284297887,1.658132353,0.837476603,-3.26904704,8.002483854,-1
180,MODEL1,PARMS,LUL,1.155708291,4.85121844,-0.586628613,1.286980078,-3.840376197,0.397565943,-0.770051551,1.081059519,-1
181,MODEL1,PARMS,LUL,1.267408446,23.7740661,-0.410457138,1.222012024,-4.105156528,-0.804336398,1.625618799,-2.116151048,-1
182,MODEL1,PARMS,LUL,1.03653039,0.496462759,0.226233781,-0.355153612,1.282208742,0.421485187,-0.856605118,1.432377811,-1
183,MODEL1,PARMS,LUL,1.098109957,8.23742972,-0.040190311,0.273817228,-0.998203161,0.024795727,-0.43488273,1.535506127,-1
184,MODEL1,PARMS,LUL,1.017704457,-3.508480564,0.04240774,0.331344466,-1.292547091,0.696030988,-1.135667606,1.923762451,-1
185,MODEL1,PARMS,LUL,1.221244605,15.1886181,0.175231292,-0.340371115,0.97266693,-0.464611579,2.481827414,-4.711800144,-1
