SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
458,MODEL1,PARMS,sLB1,0.622653366,12.80951783,0.042763443,0.201354726,-1.32110207,-0.615193177,1.936385165,-3.612929416,-1
459,MODEL1,PARMS,sLB1,0.551631471,5.775076525,0.060055442,-0.322506182,1.804744076,-0.17966622,0.837508052,-1.665750009,-1
460,MODEL1,PARMS,sLB1,0.584480182,3.831139778,0.054120584,-0.217576977,1.063274096,-0.059055632,0.126126975,0.031910278,-1
461,MODEL1,PARMS,sLB1,0.609234528,2.340798362,0.0431133,0.087418503,-0.416470831,0.020031827,0.069308347,0.055424944,-1
462,MODEL1,PARMS,sLB1,0.6451127,3.197612981,0.021894081,0.209767776,-0.704054292,-0.040496952,0.950765326,-1.954525426,-1
463,MODEL1,PARMS,sLB1,0.574819578,4.288805554,0.163162544,-0.353715636,0.595999557,-0.114558542,0.274077399,-0.336502943,-1
464,MODEL1,PARMS,sLB1,0.586104229,-3.946274712,0.047571329,-0.058593397,0.320680629,0.407387917,-1.182997182,2.659423903,-1
465,MODEL1,PARMS,sLB1,0.614641324,7.630715589,-0.100744383,0.646651098,-2.912976764,-0.262847949,1.231240104,-2.930633971,-1
466,MODEL1,PARMS,sLB1,0.566762944,2.640397124,-0.025455853,0.104605543,-0.390058132,0.020389743,0.396454662,-0.739045915,-1
467,MODEL1,PARMS,sLB1,0.634591751,6.465824623,0.059202987,0.08485228,-0.414998441,-0.243110948,1.416414133,-2.719943327,-1
468,MODEL1,PARMS,sLB1,0.623750281,-0.552052195,0.045429252,-0.139112206,0.401844803,0.204492691,-0.083022576,0.167824319,-1
469,MODEL1,PARMS,sLB1,0.61212501,4.089962825,-0.089552049,0.379427505,-1.356464024,-0.048366101,0.218211317,-0.092046263,-1
470,MODEL1,PARMS,sLB1,0.588066885,9.051870214,0.029485824,0.014372575,0.398531563,-0.384276068,1.432647178,-2.456927942,-1
471,MODEL1,PARMS,sLB1,0.58966636,9.132910281,0.010978119,0.144664797,-0.625263342,-0.387567176,2.033853045,-4.186180485,-1
472,MODEL1,PARMS,sLB1,0.592092369,-1.042018207,0.074027848,-0.065611975,0.271439666,0.220663614,-0.211834642,0.300983632,-1
473,MODEL1,PARMS,sLB1,0.560495089,-1.000890925,0.135960055,-0.623195642,3.120177534,0.208909049,-0.299779682,0.795407831,-1
474,MODEL1,PARMS,sLB1,0.582616794,2.624364611,0.101843341,-0.088085528,0.110613901,-0.007620552,0.111151722,0.001992214,-1
475,MODEL1,PARMS,sLB1,0.569503606,2.719129528,0.000117046,0.121603074,-0.579342495,0.012591682,0.02820435,0.190818611,-1
476,MODEL1,PARMS,sLB1,0.60217755,-2.743102469,0.026941556,-0.105223162,0.268314522,0.347047716,-1.060992733,2.268812463,-1
477,MODEL1,PARMS,sLB1,0.636826617,3.811558059,0.058633663,-0.132065284,0.831314431,-0.064953659,0.643920746,-1.444142612,-1
478,MODEL1,PARMS,sLB1,0.589724373,4.529681636,0.117334391,-0.186418224,0.91918741,-0.134804136,1.027366265,-2.149034474,-1
479,MODEL1,PARMS,sLB1,0.600265452,0.939206067,-0.071889317,0.223373531,-0.532132562,0.142553789,-0.48064032,1.492075265,-1
480,MODEL1,PARMS,sLB1,0.626905634,12.52557754,-0.059328111,0.242064535,-0.765558154,-0.571937979,2.094103379,-4.005648609,-1
481,MODEL1,PARMS,sLB1,0.557053839,-5.897626737,0.026380852,-0.117445405,0.930243427,0.525809375,-0.733753671,0.892187417,-1
482,MODEL1,PARMS,sLB1,0.583007241,-1.593612941,0.066790678,-0.002375638,-0.299123785,0.255029569,-0.465673813,1.004285413,-1
483,MODEL1,PARMS,sLB1,0.578054196,3.395213082,-0.012890188,-0.023723438,0.496113072,-0.020374757,0.350189189,-0.839925394,-1
484,MODEL1,PARMS,sLB1,0.585617749,6.349088628,0.202687718,-0.329962023,0.788427477,-0.259768552,1.280026126,-2.61608001,-1
485,MODEL1,PARMS,sLB1,0.577575723,4.578834719,0.073939932,0.001847412,-0.286200478,-0.120480073,0.433782307,-0.300267473,-1
486,MODEL1,PARMS,sLB1,0.58636596,-0.785916945,0.007410998,0.102391965,-0.867404238,0.227294928,-0.644879871,1.649558609,-1
487,MODEL1,PARMS,sLB1,0.631628076,6.186617736,-0.017213728,0.182768958,-1.184174213,-0.189755949,0.618319349,-0.916355047,-1
488,MODEL1,PARMS,sLB1,0.565793665,-3.441214359,0.080070064,-0.062807744,-0.009814666,0.368794917,-1.345176887,3.023940968,-1
489,MODEL1,PARMS,sLB1,0.583961804,9.592736164,-0.067433832,0.232594892,-0.809422262,-0.389955047,1.70940341,-3.411533178,-1
490,MODEL1,PARMS,sLB1,0.571594231,1.949064477,0.035109611,0.204476596,-1.100456071,0.039590651,0.345426109,-0.765406305,-1
491,MODEL1,PARMS,sLB1,0.591388613,-7.421014654,0.073683839,-0.047697753,0.383920888,0.601430759,-1.453732454,3.041131721,-1
492,MODEL1,PARMS,sLB1,0.5491047,1.943720049,0.004245666,0.012181205,0.487181871,0.060267603,0.283035856,-0.555264866,-1
493,MODEL1,PARMS,sLB1,0.609255806,9.274059055,0.028584009,0.327107956,-1.512305135,-0.407623979,2.169032601,-4.821412045,-1
494,MODEL1,PARMS,sLB1,0.55204372,8.021361128,0.043507365,-0.026820114,0.101576731,-0.325953623,1.625929275,-3.375168273,-1
495,MODEL1,PARMS,sLB1,0.569030739,-2.328917749,0.195628646,-0.591471512,2.186146871,0.276706591,-0.734858198,1.445532342,-1
496,MODEL1,PARMS,sLB1,0.627139318,5.735184519,-0.037022734,0.231256102,-1.005209921,-0.157201456,0.447366556,-0.565194381,-1
497,MODEL1,PARMS,sLB1,0.688234416,1.400621409,0.029271465,0.059432076,-0.206030697,0.083306347,-0.145037973,0.758231958,-1
498,MODEL1,PARMS,sLB1,0.535206811,6.910982754,0.190654999,-0.363997739,0.957252813,-0.294166776,1.049568479,-2.015575122,-1
499,MODEL1,PARMS,sLB1,0.624356084,7.286369325,0.030394373,0.042017672,-0.201819003,-0.271942872,1.489685753,-3.295239278,-1
500,MODEL1,PARMS,sLB1,0.603201672,-0.50033667,0.113340068,-0.043666162,-0.228571987,0.177431303,-0.882791753,2.219203513,-1
