SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
43,MODEL1,PARMS,RMB,1.466733214,-10.86433601,-0.006454233,-0.956519578,5.603631682,1.527575458,-5.657024196,13.05434228,-1
44,MODEL1,PARMS,RMB,1.517710392,-15.28947843,0.082261103,-0.601798488,3.529335887,1.71694672,-3.17891097,6.601738502,-1
45,MODEL1,PARMS,RMB,1.527511815,-16.48723259,0.455071634,-1.444283661,6.006494984,1.712680739,-4.992376097,11.1597049,-1
46,MODEL1,PARMS,RMB,1.585247816,10.92424434,-0.104580364,0.431933973,-1.493094258,0.171851482,0.164237483,0.578333579,-1
47,MODEL1,PARMS,RMB,1.606968625,0.92692293,0.261388378,-0.909455228,3.393777943,0.724679451,-1.897521975,3.993245422,-1
48,MODEL1,PARMS,RMB,1.479084361,-8.527973702,0.321753923,-1.176524533,4.005164615,1.255770762,-1.931792594,4.141397682,-1
49,MODEL1,PARMS,RMB,1.585236127,2.421809836,0.228732025,-0.690306644,1.112999657,0.64161298,0.527156686,-3.164134772,-1
50,MODEL1,PARMS,RMB,1.586604207,9.043029234,0.077127805,-0.369494509,1.6848736,0.262148777,0.32740968,0.022446838,-1
51,MODEL1,PARMS,RMB,1.756819981,12.00564083,0.119309805,-0.419718188,1.381588904,0.069628945,-0.81971773,3.072473103,-1
52,MODEL1,PARMS,RMB,1.59029437,10.71930347,0.057360049,0.164419035,-1.26477443,0.164391252,-0.310806901,1.67406159,-1
53,MODEL1,PARMS,RMB,1.514578158,12.31425987,0.685612624,-2.096007033,8.014378387,-0.097756205,2.016140642,-4.269489916,-1
54,MODEL1,PARMS,RMB,1.63501907,-1.647811061,0.429770729,-0.436872448,0.522784252,0.77954694,0.383493536,-2.692053986,-1
55,MODEL1,PARMS,RMB,1.717369034,25.61718856,-0.145049048,0.481219332,-2.955730171,-0.699442561,4.566122914,-9.273435495,-1
56,MODEL1,PARMS,RMB,1.490879064,-23.49788637,-0.253733069,0.716346623,-2.310524256,2.317262717,-7.089023928,16.0114682,-1
57,MODEL1,PARMS,RMB,1.528787766,-2.935051207,0.054235581,-0.956635654,4.494152258,1.016341645,-2.171407249,4.703438966,-1
58,MODEL1,PARMS,RMB,1.643270881,-0.777009003,0.15377984,-0.567668809,1.435382505,0.830220853,-0.162843835,0.291876514,-1
59,MODEL1,PARMS,RMB,1.509071838,-8.596623973,0.460373257,-1.386978325,5.010905025,1.239682937,-2.875591379,5.95615186,-1
60,MODEL1,PARMS,RMB,1.460212734,2.345083477,0.255587703,-0.57057589,2.178228193,0.61942968,-1.283626335,3.252734735,-1
61,MODEL1,PARMS,RMB,1.665303279,4.13019173,-0.069204531,-0.39846627,2.239220462,0.616180438,-1.116049506,2.542531879,-1
