SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
314,MODEL1,PARMS,RLL,1.005621244,1.916538947,0.013374956,-0.061299521,-0.08902537,0.283889674,0.261132639,-1.370400695,-1
315,MODEL1,PARMS,RLL,0.943624053,6.920957363,-0.031664161,0.164047576,-1.584923519,-0.015164198,1.22078197,-3.712070957,-1
316,MODEL1,PARMS,RLL,1.154876388,6.348522075,-0.217896485,0.051085631,-0.478689178,0.089881297,0.968588191,-2.806282203,-1
317,MODEL1,PARMS,RLL,1.000257143,14.27833143,0.335117162,-1.042943597,3.518192605,-0.565632091,2.805896318,-6.347803279,-1
318,MODEL1,PARMS,RLL,1.059315163,5.416124169,-0.154971548,0.39864949,-2.363654467,0.124492216,-0.466798216,1.145188675,-1
319,MODEL1,PARMS,RLL,1.048694384,5.992138353,0.020586901,-0.46523703,1.504333092,0.032313286,0.516898557,-1.220558819,-1
320,MODEL1,PARMS,RLL,1.117850125,23.98946703,-0.16742635,0.424376952,-2.298842715,-1.024294648,5.098131629,-11.1665308,-1
321,MODEL1,PARMS,RLL,0.993625664,-2.318407274,-0.193509309,0.043675284,-0.101807864,0.617932879,-2.051472179,3.876060614,-1
322,MODEL1,PARMS,RLL,1.030462099,0.097973848,-0.046100827,-0.246626483,0.796793472,0.412598522,-0.21703206,-0.310683053,-1
323,MODEL1,PARMS,RLL,1.085001967,8.198020653,-0.059498921,-0.243562355,0.230502103,-0.063879658,0.876786664,-2.662591988,-1
324,MODEL1,PARMS,RLL,0.994099074,18.34716764,-0.158591387,0.460878738,-2.710432219,-0.665715324,2.202945375,-4.801942499,-1
325,MODEL1,PARMS,RLL,0.891242599,7.671938202,-0.217292263,0.322064313,-1.528319307,-0.025992148,2.020806777,-5.123059963,-1
326,MODEL1,PARMS,RLL,0.977430862,0.339009832,0.14274407,-0.500479455,0.580760495,0.360080801,-1.500445041,3.421624075,-1
327,MODEL1,PARMS,RLL,0.976507903,-2.634927195,-0.061104214,-0.471763432,1.882883971,0.60449673,-2.196001586,4.719270693,-1
328,MODEL1,PARMS,RLL,1.009531326,4.621455917,-0.024808699,-0.104248174,-0.310673297,0.137936383,-0.068167062,0.205799668,-1
329,MODEL1,PARMS,RLL,0.988774375,-0.236435111,0.134665931,-0.703950754,1.88470107,0.386925884,-0.599289477,1.012662763,-1
