SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB10
178,MODEL1,PARMS,RB10,0.909213781,16.96914855,-0.254145012,0.597680176,-2.016796022,-0.673375251,1.963876313,-2.897422772,-1
179,MODEL1,PARMS,RB10,0.840423809,11.38462253,0.036706376,-0.045999005,-0.080585529,-0.410416244,1.190035975,-1.972709453,-1
180,MODEL1,PARMS,RB10,0.802141902,8.237286023,-0.50751108,0.795305778,-2.189432527,-0.063449702,1.334286768,-3.164166675,-1
181,MODEL1,PARMS,RB10,0.860027482,17.52755135,-0.172496562,0.304627281,-0.753614017,-0.725963501,2.188555394,-3.87055615,-1
182,MODEL1,PARMS,RB10,0.931633337,3.206561391,0.19404625,-0.872309369,3.757892426,0.05649599,-0.190213587,0.769300614,-1
183,MODEL1,PARMS,RB10,0.979166934,13.04647778,-0.126804901,0.143414773,-0.306829865,-0.469671804,1.542633356,-2.818722858,-1
184,MODEL1,PARMS,RB10,0.800429912,-1.907702341,-0.12552917,0.190478702,-0.308298903,0.452499383,-2.071171508,5.000381733,-1
185,MODEL1,PARMS,RB10,0.877775806,13.26435909,0.012302968,-0.206156887,0.627285338,-0.531273277,3.070022654,-6.528772692,-1
186,MODEL1,PARMS,RB10,0.880254788,9.796941076,-0.018198639,-0.263511936,1.292493973,-0.283371869,0.182823687,0.37235104,-1
187,MODEL1,PARMS,RB10,0.959173382,7.059391523,0.132638652,-0.689671843,3.186889492,-0.180390763,2.302203734,-5.850599142,-1
188,MODEL1,PARMS,RB10,0.911253229,-8.836473259,-0.15141166,0.010829509,0.465529244,0.880081922,-2.828188867,5.893783778,-1
189,MODEL1,PARMS,RB10,0.8397893,15.62932208,-0.251312892,0.177868383,-0.184194906,-0.569287215,2.020688705,-4.2228088,-1
190,MODEL1,PARMS,RB10,0.830877718,7.863551645,-0.093791373,-0.201746273,1.206858409,-0.141691064,0.755154057,-1.47612244,-1
191,MODEL1,PARMS,RB10,0.871310833,0.815489961,-0.094263326,-0.132295332,1.848807392,0.263953537,0.187930284,-0.756031195,-1
192,MODEL1,PARMS,RB10,0.794881837,0.827527216,-0.031555125,0.008199226,0.11708032,0.244636908,0.079021316,-0.471568938,-1
193,MODEL1,PARMS,RB10,0.823600095,-5.633423826,0.025656915,-0.083473347,-0.242556095,0.620959981,-1.652783127,3.675495388,-1
194,MODEL1,PARMS,RB10,0.832109591,-8.668370191,-0.050843888,-0.194797215,1.19382554,0.8228491,-0.712842297,0.182070181,-1
