SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB1
620,MODEL1,PARMS,sLB1,0.540487392,2.232534331,0.152682798,-0.268767368,0.841379477,-0.141454846,0.940729298,-2.331902359,0.527582313,-1.254033869,2.372461677,-1
621,MODEL1,PARMS,sLB1,0.461357751,3.907688772,0.002581048,0.048645099,-0.127058398,-0.128757563,1.097339835,-3.155300654,0.140766944,0.082998511,-0.104308513,-1
622,MODEL1,PARMS,sLB1,0.539819686,-4.801403025,0.112547786,-0.081789733,0.272546425,0.374329857,-0.183552986,-0.294075914,0.300092076,-0.944195565,2.10963921,-1
623,MODEL1,PARMS,sLB1,0.514597715,1.842295536,0.055135973,0.000426625,-0.138661137,-0.038448117,0.648136139,-2.115872153,0.310704796,-0.878171826,2.184777159,-1
624,MODEL1,PARMS,sLB1,0.502672442,-3.028553043,0.070484425,-0.244284517,0.90962897,0.315433118,-0.848056747,1.418292149,0.213025703,-0.465138969,0.929441249,-1
625,MODEL1,PARMS,sLB1,0.532843861,0.541279151,0.102540113,-0.365511854,1.417107123,0.069004316,0.051701826,-0.536433053,0.198157698,-0.45486961,1.084446545,-1
626,MODEL1,PARMS,sLB1,0.554776248,-2.87653232,-0.002133243,0.173017918,-0.935215693,0.291683654,-1.070593198,2.297781179,0.359643839,-1.378842562,3.140283667,-1
627,MODEL1,PARMS,sLB1,0.518425021,1.567344169,0.032659914,0.092537863,-0.732072363,-0.010093106,-0.07897077,0.092500059,0.316677953,-0.236975341,0.012340475,-1
628,MODEL1,PARMS,sLB1,0.555939242,-0.27636701,-0.002150528,0.187534971,-0.718450686,0.096588436,-0.325798343,0.793369142,0.421478389,-0.571519812,0.620067852,-1
629,MODEL1,PARMS,sLB1,0.530157248,2.971062084,0.091423669,-0.021830713,-0.340710106,-0.114804959,0.465944143,-1.453055225,0.286570693,-0.64660275,1.523185172,-1
630,MODEL1,PARMS,sLB1,0.533727304,4.250808678,0.125909033,-0.343102803,1.346037894,-0.210815532,0.51817118,-0.655988602,0.314952937,-0.769693926,1.355226497,-1
631,MODEL1,PARMS,sLB1,0.519083431,-5.436345108,0.100658869,-0.198374635,0.866360969,0.438637604,-0.91879756,1.770544496,0.264049058,-0.41483959,0.58331107,-1
632,MODEL1,PARMS,sLB1,0.49311013,1.048504001,0.21227189,-0.477480687,1.352666923,-0.048765734,-0.205721066,0.448616979,0.457144903,-1.08384697,2.182826414,-1
633,MODEL1,PARMS,sLB1,0.558021045,-4.852990577,0.033718425,0.209964979,-1.213378953,0.399969634,-0.587371629,0.622036465,0.332772292,-0.885821396,2.090725882,-1
634,MODEL1,PARMS,sLB1,0.533404223,1.259417712,0.118976963,-0.071038739,-0.091572592,-0.030214319,0.478491735,-1.361826157,0.362804515,-1.145267309,2.600199202,-1
635,MODEL1,PARMS,sLB1,0.538089722,3.324539993,-0.079290708,0.331618911,-1.33964876,-0.045983275,0.410313243,-1.150698692,0.095226124,0.123943636,-0.252815845,-1
636,MODEL1,PARMS,sLB1,0.496689817,3.852168029,0.003791761,0.052883089,-0.324878479,-0.117608657,0.139089402,-0.287726772,0.161350213,-0.021727501,-0.003997929,-1
637,MODEL1,PARMS,sLB1,0.535195972,-2.275568762,0.078047283,-0.101909765,0.351509442,0.235190902,-0.250244888,-0.010670934,0.241614256,-0.171742452,0.310602502,-1
638,MODEL1,PARMS,sLB1,0.55685667,0.322981897,0.127906261,-0.158016152,0.141176128,0.082996735,0.014566627,-0.437563152,0.118651157,0.058641492,-0.100406982,-1
639,MODEL1,PARMS,sLB1,0.579906662,1.618701158,0.181936337,-0.381280006,1.075736397,-0.0235107,0.014195476,-0.190861301,0.167562948,0.305305804,-1.014149008,-1
640,MODEL1,PARMS,sLB1,0.515838594,1.529508997,0.073313002,-0.028033233,-0.098849652,0.016416217,0.560029477,-1.559423152,0.148972493,-0.586081373,1.33706844,-1
641,MODEL1,PARMS,sLB1,0.534694427,5.509199848,0.108280639,-0.187832418,0.473638615,-0.27269072,0.730954872,-1.51993412,0.238810384,-0.252654645,0.369222491,-1
642,MODEL1,PARMS,sLB1,0.553175384,1.389209742,0.127114276,-0.330318918,0.95592818,-0.02650976,-0.470902802,1.080496959,0.396261829,-0.867724161,1.743434297,-1
643,MODEL1,PARMS,sLB1,0.496405588,2.559802463,0.065889826,-0.090047503,0.224982083,-0.096848236,0.362159966,-1.037068768,0.351220323,-0.490137143,0.77586713,-1
644,MODEL1,PARMS,sLB1,0.561102253,0.355033344,0.12380632,-0.046724067,-0.2741263,0.023510227,0.18485209,-0.669336926,0.384464622,-0.933710886,1.929342286,-1
645,MODEL1,PARMS,sLB1,0.568211035,-4.336975288,0.178340316,-0.330177099,0.856020489,0.362776164,-1.489196151,3.107068582,0.236399568,-0.510949049,1.177216844,-1
646,MODEL1,PARMS,sLB1,0.504350768,0.33699056,0.073198065,0.026677108,-0.414554861,0.111897052,-0.438154087,0.905914693,0.053095059,0.209718614,-0.497063324,-1
647,MODEL1,PARMS,sLB1,0.509640424,-0.445668262,-0.025005043,0.306740665,-1.269368958,0.130014963,-0.415694369,0.677304352,0.359679598,-0.855843675,1.762579736,-1
648,MODEL1,PARMS,sLB1,0.514431499,0.013143368,0.098396914,-0.06861391,0.031278544,0.069023289,-0.243173357,0.753492965,0.303759994,-0.579674706,1.107432696,-1
649,MODEL1,PARMS,sLB1,0.56470016,-5.479926346,0.117714841,-0.107429284,0.092990287,0.420303466,-0.459578471,0.098408551,0.337762244,-0.956156497,2.205724523,-1
650,MODEL1,PARMS,sLB1,0.540711865,3.29753289,0.04942569,-0.000157173,-0.302923782,-0.074227677,0.447125392,-1.110641546,0.044709794,0.173395194,-0.224355107,-1
651,MODEL1,PARMS,sLB1,0.521824083,-7.665222623,0.133307043,-0.246429837,0.782499167,0.613712988,-1.393660677,2.455770692,0.121451305,-0.279080945,0.581205955,-1
