SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
89,MODEL1,PARMS,RB4_5,0.923764503,8.452441152,0.19277458,-0.371578262,0.923530532,-0.372800283,0.44843706,-0.817183365,0.506694257,-0.762973558,1.270443337,-1
90,MODEL1,PARMS,RB4_5,0.857104936,6.588527659,0.018407722,-0.055877335,-0.119232314,-0.307786862,0.248725134,-0.271494331,1.027553271,-2.238808961,4.193935034,-1
91,MODEL1,PARMS,RB4_5,0.745084861,4.292598332,0.019592106,-0.122932196,0.091325571,0.069236052,0.39790556,-1.308535548,-0.032569417,0.499994574,-1.282728298,-1
92,MODEL1,PARMS,RB4_5,0.898751265,13.03297961,0.06839135,-0.227104086,0.671642736,-0.719108597,2.131506403,-4.076493295,0.845290376,-2.025571912,3.971357611,-1
93,MODEL1,PARMS,RB4_5,0.814818145,-4.643635575,0.156325682,-0.167812375,0.022313167,0.561980667,-0.918810076,1.470571012,0.172592259,-0.724970938,2.06702968,-1
94,MODEL1,PARMS,RB4_5,0.776093092,4.230373295,0.11629335,-0.714539028,2.67470492,-0.131551328,-0.280128606,1.280471821,0.87073329,-2.081863872,3.853046856,-1
95,MODEL1,PARMS,RB4_5,0.844794311,-4.693701445,0.103978022,-0.326836874,0.872774586,0.525762642,-1.430153946,2.970019627,0.469881938,-1.247741231,2.559401976,-1
96,MODEL1,PARMS,RB4_5,0.871547387,2.707753945,0.062101304,-0.413498449,1.296646184,-0.012133919,-0.267365376,0.525432947,0.838890977,-2.300954283,4.751252795,-1
97,MODEL1,PARMS,RB4_5,0.82255792,9.051466749,0.053891751,-0.135264758,0.07999126,-0.332739538,0.551609386,-0.883191318,0.302599941,0.240509368,-0.88923613,-1
98,MODEL1,PARMS,RB4_5,0.862004649,0.818255263,0.113217864,-0.260792121,0.639310421,0.185455615,-0.58857673,0.988050372,0.349557022,-0.799396055,1.912624158,-1
99,MODEL1,PARMS,RB4_5,0.896025233,6.168226386,0.132058409,-0.465862727,1.333488268,-0.188202585,0.337487205,-1.353203132,0.47625207,-0.997419512,2.090624315,-1
100,MODEL1,PARMS,RB4_5,0.845539332,5.599832827,0.146618645,-0.852795709,2.905460267,-0.199001908,0.1513628,-0.25047022,0.793472642,-2.273125812,4.854274795,-1
101,MODEL1,PARMS,RB4_5,0.879357973,5.78829402,0.159288452,-0.121177883,-0.425657868,-0.166130206,0.10761866,-0.154696842,0.430964025,-0.98935447,2.107380841,-1
102,MODEL1,PARMS,RB4_5,0.864598797,-0.523972597,0.196612656,-0.537147164,1.816386124,0.239861733,-1.375725809,3.05346502,0.405938961,-0.115630021,0.037291901,-1
103,MODEL1,PARMS,RB4_5,0.978962206,-1.154747937,0.169864042,-0.553400228,1.714292966,0.265927808,-1.254152903,2.685183261,0.505136299,-0.225408974,0.118194615,-1
