SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
564,MODEL1,PARMS,RMB,1.518592903,19.59667248,0.352991294,-0.781482476,1.629208249,-1.01268611,3.559104577,-7.631770178,1.78566171,-5.847805752,12.54512082,-1
565,MODEL1,PARMS,RMB,1.322267133,9.571829328,0.109551205,-0.489109147,2.337532899,-0.078939959,1.217405127,-1.985984773,0.775439219,-1.87281302,3.295291989,-1
566,MODEL1,PARMS,RMB,1.424861831,13.00437603,0.339622506,-1.081582304,3.868279787,-0.565612727,3.911192688,-9.14906057,1.682089498,-4.9245027,10.01579423,-1
567,MODEL1,PARMS,RMB,1.398321392,-2.225446343,0.446517945,-1.40101511,5.157134454,0.383019929,0.400787244,-1.126730483,1.804861,-4.55556587,8.575042464,-1
568,MODEL1,PARMS,RMB,1.367455857,-5.007163077,0.253204478,-1.128354124,4.893219817,0.669816498,-0.627518681,0.418846612,1.696788272,-4.95452143,9.946321276,-1
569,MODEL1,PARMS,RMB,1.289407409,11.1880108,0.353523168,-1.475313062,6.187089574,-0.327513485,3.181668763,-8.22470185,1.077902859,-2.302740434,4.608159567,-1
570,MODEL1,PARMS,RMB,1.22503466,8.193125077,-0.070566062,0.319729619,-1.927688504,-0.140177627,3.285871138,-8.341099394,1.666678487,-5.301781345,10.89138623,-1
571,MODEL1,PARMS,RMB,1.242607457,15.9652469,0.336659394,-1.379734208,5.033836985,-0.716584679,3.86104999,-9.053006482,1.50366672,-3.107807944,5.270544764,-1
572,MODEL1,PARMS,RMB,1.362954626,19.11752429,0.276015213,-0.776103486,2.730439133,-0.842684832,3.44577245,-7.100886311,1.093718318,-2.238424018,4.379876581,-1
573,MODEL1,PARMS,RMB,1.355964505,0.389072333,0.462880435,-1.561257512,6.274371589,0.392881975,0.102074484,-0.71887745,0.893882471,-1.644412648,3.051218256,-1
574,MODEL1,PARMS,RMB,1.28360116,15.5725847,0.180929583,-1.223583639,5.133446629,-0.677477165,4.026662732,-9.888233415,1.688569505,-4.369374605,8.23898706,-1
575,MODEL1,PARMS,RMB,1.252903248,-2.330015933,0.014481925,-0.775319295,3.785330327,0.590240457,0.085278343,-2.088874802,1.546855435,-3.968478776,7.808010929,-1
576,MODEL1,PARMS,RMB,1.237894827,10.70486493,0.170003499,-0.854550542,3.743068734,-0.330840082,3.158400849,-7.963690362,1.472336505,-3.389672223,6.417543371,-1
577,MODEL1,PARMS,RMB,1.27122095,24.29774889,-0.062846562,0.492181029,-2.612872081,-1.082079168,4.971253961,-10.59172749,0.96988659,-0.912975976,0.264691924,-1
578,MODEL1,PARMS,RMB,1.313528405,6.637055221,0.301225368,-1.063727755,4.809902863,-0.153436783,1.973693604,-4.478794884,1.785123606,-5.012029985,9.835892644,-1
579,MODEL1,PARMS,RMB,1.216308907,9.093346102,0.284846538,-0.924736612,2.982009226,-0.180530036,3.173986678,-8.544393699,1.10196269,-1.944416695,3.082203598,-1
580,MODEL1,PARMS,RMB,1.337496959,7.859031108,0.351746405,-1.133398896,3.741014812,-0.156632947,0.650100985,-1.487156239,1.336229541,-2.015010776,3.378102537,-1
581,MODEL1,PARMS,RMB,1.3470396,3.292852494,0.331206045,-0.973981229,3.576949016,0.035994971,0.234322784,-0.477003972,1.846988783,-4.196689935,7.668713288,-1
582,MODEL1,PARMS,RMB,1.363273706,2.727681054,0.210495153,-0.951655611,4.537469849,0.181626537,1.063531903,-2.968415874,1.457381988,-3.258773521,6.263625487,-1
583,MODEL1,PARMS,RMB,1.309726109,1.209670533,0.479057934,-1.136192027,3.849353521,0.286520428,1.150372068,-2.717270105,1.03687242,-2.690581827,5.113021926,-1
584,MODEL1,PARMS,RMB,1.272163007,5.284612504,0.441604923,-1.445231963,5.684717173,-0.017573702,1.53787011,-4.280772118,1.332733193,-3.20590552,6.593204958,-1
585,MODEL1,PARMS,RMB,1.357013886,18.26445668,0.383342092,-1.644125198,6.68528374,-0.793977648,3.593405483,-7.361068314,1.129231305,-2.949481252,5.840821567,-1
586,MODEL1,PARMS,RMB,1.433337734,10.97744049,0.278938829,-0.823952824,2.811424586,-0.461208554,1.929086218,-4.20739684,1.869224885,-4.01007251,7.170723998,-1
587,MODEL1,PARMS,RMB,1.330077454,12.88328118,0.15392565,-0.379877648,1.608755225,-0.380971309,2.528184566,-6.025476132,1.056316785,-2.093374178,3.742757297,-1
588,MODEL1,PARMS,RMB,1.330118981,3.332082426,0.456463992,-1.382443553,5.374564096,0.19145044,2.378579972,-7.488870784,0.861998425,-1.07486326,1.693917429,-1
589,MODEL1,PARMS,RMB,1.276980664,18.32168368,0.366415937,-0.953416882,2.572996633,-0.724962438,4.387020005,-10.42829669,0.672659368,-0.939138635,1.525123762,-1
590,MODEL1,PARMS,RMB,1.226537559,10.28969811,0.447544611,-1.082972979,3.630089739,-0.329900204,2.24752838,-5.617155266,1.179332159,-2.542802447,4.893896713,-1
591,MODEL1,PARMS,RMB,1.326644508,0.23305564,-0.164664512,-0.317835962,2.271751437,0.423918674,-0.149865284,-0.204194833,1.791065031,-4.801401757,8.680361036,-1
592,MODEL1,PARMS,RMB,1.207031765,9.652630181,0.324651898,-0.703446043,2.696652153,-0.226458239,2.45532393,-6.188492755,1.019184598,-2.100998311,3.990459359,-1
593,MODEL1,PARMS,RMB,1.328814759,6.842633236,0.423254358,-1.237943981,4.774894079,-0.210353247,2.178810537,-5.192094605,1.74953632,-4.356820417,8.347517791,-1
594,MODEL1,PARMS,RMB,1.333547348,2.443197987,0.240646478,-0.915939176,3.76490668,0.335821268,1.277167985,-3.329344377,0.872558701,-3.428482462,7.146891402,-1
595,MODEL1,PARMS,RMB,1.376631927,12.82112696,-0.107080465,-0.004043671,0.367339079,-0.423417768,1.863290795,-3.828510828,1.614224506,-3.040457639,5.338676895,-1
596,MODEL1,PARMS,RMB,1.221816708,2.987580582,0.271073517,-0.295572454,0.719504512,0.169414677,2.24994304,-6.338863715,1.254591729,-2.581550576,4.101184899,-1
597,MODEL1,PARMS,RMB,1.312709609,1.813609123,0.34974428,-1.118777068,4.553101874,0.297003347,1.074268003,-3.871789962,1.099560563,-3.621452827,8.128570761,-1
