SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sLB10
72,MODEL1,PARMS,sLB10,0.950839879,2.191737055,0.287396789,-0.092423901,-0.18357753,-1
73,MODEL1,PARMS,sLB10,0.921824649,1.860053246,0.405741835,-0.754374065,1.062634682,-1
74,MODEL1,PARMS,sLB10,0.937440225,1.965834066,0.35291574,-0.227787809,-0.005621334,-1
75,MODEL1,PARMS,sLB10,0.964731568,1.788040224,0.433095955,-1.162664555,1.899350496,-1
76,MODEL1,PARMS,sLB10,0.936461462,2.48604428,0.234528366,0.131391334,-0.604048559,-1
77,MODEL1,PARMS,sLB10,0.967909137,1.714643728,0.479671365,-1.639612908,2.817125659,-1
78,MODEL1,PARMS,sLB10,0.945092053,2.263675157,0.278055759,-0.212395722,0.164489354,-1
79,MODEL1,PARMS,sLB10,0.950156594,1.290396012,0.590001162,-2.069474949,3.695414347,-1
80,MODEL1,PARMS,sLB10,0.98183385,1.50436267,0.505051633,-0.918941533,1.175248729,-1
81,MODEL1,PARMS,sLB10,1.055733171,1.997766667,0.382028845,-0.454630231,0.465371289,-1
82,MODEL1,PARMS,sLB10,0.90859864,2.151425752,0.285694035,0.104337578,-0.522975978,-1
83,MODEL1,PARMS,sLB10,0.908377194,3.381663235,-0.012421866,0.822736786,-1.454372031,-1
84,MODEL1,PARMS,sLB10,0.941551673,2.566957997,0.17886528,0.296210665,-0.633479179,-1
85,MODEL1,PARMS,sLB10,0.890447093,1.701411753,0.429529568,-0.998070774,1.573111909,-1
86,MODEL1,PARMS,sLB10,0.937674568,1.704412853,0.461526159,-1.506718226,2.727516363,-1
87,MODEL1,PARMS,sLB10,0.916762716,1.579527713,0.471868828,-0.887755365,1.196474527,-1
88,MODEL1,PARMS,sLB10,0.976590637,1.837428459,0.418139951,-0.967540986,1.4541333,-1
89,MODEL1,PARMS,sLB10,0.908680032,1.682511787,0.474263752,-1.435289038,2.372982069,-1
90,MODEL1,PARMS,sLB10,0.881291746,1.652137609,0.485439237,-1.542235439,2.589920442,-1
91,MODEL1,PARMS,sLB10,0.953263106,2.163888968,0.306252877,-0.107205144,-0.134585089,-1
92,MODEL1,PARMS,sLB10,0.95007189,1.592332624,0.430717805,-0.283403637,0.135255114,-1
93,MODEL1,PARMS,sLB10,0.924481535,0.980600194,0.672496067,-1.855034284,2.814052702,-1
94,MODEL1,PARMS,sLB10,1.0050749,2.119760364,0.309270403,-0.273921233,0.327826639,-1
95,MODEL1,PARMS,sLB10,0.946952503,2.745244554,0.140120664,0.461088875,-0.973454479,-1
96,MODEL1,PARMS,sLB10,0.976368095,1.445329763,0.512015596,-0.802633994,1.017626359,-1
97,MODEL1,PARMS,sLB10,0.928728141,1.374824447,0.501074748,-1.212254392,1.946177254,-1
98,MODEL1,PARMS,sLB10,0.910130015,1.901860858,0.388254073,-0.67762338,0.96951492,-1
99,MODEL1,PARMS,sLB10,0.984621249,1.628328409,0.456312203,-0.385015155,0.033529159,-1
