SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RLL
408,MODEL1,PARMS,RLL,0.921230038,4.045280818,0.538282923,-0.939047809,1.532913211,-1
409,MODEL1,PARMS,RLL,0.934785364,3.464718548,0.716955858,-1.650683919,2.537936699,-1
410,MODEL1,PARMS,RLL,0.975530337,3.811119884,0.565087372,-0.89222586,1.270413951,-1
411,MODEL1,PARMS,RLL,0.905152959,5.043768436,0.300102724,-0.288369524,0.329429462,-1
412,MODEL1,PARMS,RLL,0.937886388,5.631315981,0.103107926,0.717218106,-1.355724611,-1
413,MODEL1,PARMS,RLL,0.910953469,4.213882481,0.491519814,-0.91158116,1.358780115,-1
414,MODEL1,PARMS,RLL,0.985279637,4.855953861,0.29380918,0.450395438,-1.21369787,-1
415,MODEL1,PARMS,RLL,0.92331624,4.588691209,0.387196831,-0.502795914,0.664443668,-1
416,MODEL1,PARMS,RLL,0.952043403,3.99133157,0.566857622,-1.229304193,1.86784144,-1
417,MODEL1,PARMS,RLL,0.95204601,3.31154192,0.796185911,-2.21442456,3.579188907,-1
418,MODEL1,PARMS,RLL,0.916385136,3.326687634,0.772729553,-2.499280206,4.240366851,-1
419,MODEL1,PARMS,RLL,0.960060317,4.509943895,0.383807748,-0.126527082,-0.010571449,-1
420,MODEL1,PARMS,RLL,0.932361409,4.361737899,0.476737682,-1.221647581,2.171703439,-1
421,MODEL1,PARMS,RLL,0.909413989,3.853774759,0.606610828,-1.235676252,1.767949994,-1
422,MODEL1,PARMS,RLL,0.967332533,4.587896626,0.381502991,-0.487318159,0.776212088,-1
423,MODEL1,PARMS,RLL,0.917957642,3.648994762,0.658597525,-1.492678113,2.402718859,-1
424,MODEL1,PARMS,RLL,0.953616711,5.03871926,0.32089721,-0.658795154,1.118577705,-1
425,MODEL1,PARMS,RLL,0.961367491,4.139445977,0.497810619,-1.028649223,1.738323519,-1
426,MODEL1,PARMS,RLL,0.934721735,4.445007205,0.446504775,-0.845332261,1.367269789,-1
427,MODEL1,PARMS,RLL,0.91945401,5.184029967,0.232939796,-0.129272499,0.265852027,-1
428,MODEL1,PARMS,RLL,0.95198966,3.12830323,0.825574476,-2.156682378,3.427477684,-1
