SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LMB
413,MODEL1,PARMS,LMB,1.418364987,8.090538624,0.524405812,0.321372206,-0.692145303,-1
414,MODEL1,PARMS,LMB,1.310286004,7.354045492,0.7011739,0.10386836,-0.563673513,-1
415,MODEL1,PARMS,LMB,1.329442678,7.515644008,0.622636735,0.806961683,-1.923883931,-1
416,MODEL1,PARMS,LMB,1.347506251,8.200231731,0.430285523,1.376654153,-2.905367273,-1
417,MODEL1,PARMS,LMB,1.371573066,5.802532992,1.147832432,-2.2644174,3.704490166,-1
418,MODEL1,PARMS,LMB,1.420966669,7.084249288,0.780883381,-0.775650566,1.211461221,-1
419,MODEL1,PARMS,LMB,1.313500097,6.617242457,0.9011676,-0.631848885,0.666604812,-1
420,MODEL1,PARMS,LMB,1.345828572,7.149543786,0.767525794,-0.520361444,0.746680595,-1
421,MODEL1,PARMS,LMB,1.32710571,6.428785082,0.920148121,-0.301216131,-0.184456444,-1
422,MODEL1,PARMS,LMB,1.336650889,5.84510394,1.156723638,-2.228922388,3.584767643,-1
423,MODEL1,PARMS,LMB,1.347619974,8.28758512,0.459460267,0.92830944,-1.631141017,-1
424,MODEL1,PARMS,LMB,1.400665518,6.654655499,0.892887441,-0.943537543,1.51983028,-1
425,MODEL1,PARMS,LMB,1.436430382,8.111050123,0.461224542,0.929907677,-1.665829181,-1
426,MODEL1,PARMS,LMB,1.339810203,8.93115644,0.272576372,1.08945946,-1.650169318,-1
427,MODEL1,PARMS,LMB,1.446800089,8.237754631,0.511291346,0.210511064,-0.424907865,-1
428,MODEL1,PARMS,LMB,1.33700391,7.389091346,0.729475188,-0.395342722,0.343282446,-1
429,MODEL1,PARMS,LMB,1.342552243,6.977638246,0.788657954,-0.621785365,0.922329501,-1
430,MODEL1,PARMS,LMB,1.328629799,6.743714134,0.892915546,-0.740967036,0.806771196,-1
431,MODEL1,PARMS,LMB,1.44363738,7.778706634,0.630149113,-0.139369192,0.0871456,-1
432,MODEL1,PARMS,LMB,1.294834204,7.096658989,0.754081486,-0.756299102,1.431119899,-1
433,MODEL1,PARMS,LMB,1.296187806,7.242745455,0.699071956,0.354895656,-0.965243001,-1
434,MODEL1,PARMS,LMB,1.355058608,8.194572917,0.473290649,1.014236388,-1.956509699,-1
435,MODEL1,PARMS,LMB,1.439543551,6.970545839,0.880899156,-1.691300775,2.939382493,-1
436,MODEL1,PARMS,LMB,1.287632358,8.267424924,0.441003601,0.887304152,-1.603543965,-1
437,MODEL1,PARMS,LMB,1.370298934,9.125566665,0.156928576,2.697921521,-5.027058461,-1
438,MODEL1,PARMS,LMB,1.43143623,5.750846235,1.195682337,-2.597610632,4.371196485,-1
439,MODEL1,PARMS,LMB,1.281162243,7.437148661,0.647344355,0.083220644,-0.210769511,-1
440,MODEL1,PARMS,LMB,1.285235768,7.591897963,0.651338392,0.288801399,-0.96759762,-1
441,MODEL1,PARMS,LMB,1.358403358,6.395988981,0.966329129,-1.590683845,2.550427743,-1
442,MODEL1,PARMS,LMB,1.353069724,6.829579559,0.839113025,-0.730165454,0.935706589,-1
443,MODEL1,PARMS,LMB,1.419476118,7.080590421,0.781782963,-0.530052704,0.747319549,-1
444,MODEL1,PARMS,LMB,1.347395911,7.160312782,0.789940924,-0.687927198,1.013274632,-1
445,MODEL1,PARMS,LMB,1.308469211,6.969405928,0.742957534,0.605111457,-1.798686526,-1
446,MODEL1,PARMS,LMB,1.465590392,6.39803473,0.999790192,-1.395167927,2.141546646,-1
447,MODEL1,PARMS,LMB,1.383861891,6.26640652,1.008914086,-1.544798669,2.462277372,-1
448,MODEL1,PARMS,LMB,1.410952074,6.003259399,1.096403819,-2.210994278,3.803128715,-1
449,MODEL1,PARMS,LMB,1.367146961,8.130275281,0.464232119,0.362697707,-0.749122954,-1
450,MODEL1,PARMS,LMB,1.443583651,6.540570479,0.933207727,-1.054242616,1.539950771,-1
451,MODEL1,PARMS,LMB,1.449059542,7.183810135,0.795640571,-1.624463431,3.116512088,-1
452,MODEL1,PARMS,LMB,1.462454702,6.524803758,1.013170539,-1.90531958,2.932744873,-1
453,MODEL1,PARMS,LMB,1.359800716,8.69856136,0.328641082,1.33830871,-2.511199565,-1
454,MODEL1,PARMS,LMB,1.356099667,7.858504229,0.593117107,0.32593459,-0.932816244,-1
455,MODEL1,PARMS,LMB,1.401486523,6.636490111,0.911236157,-1.278409955,2.060717882,-1
456,MODEL1,PARMS,LMB,1.369569582,7.26181753,0.731787156,-0.72737882,1.299011128,-1
457,MODEL1,PARMS,LMB,1.315035158,7.819253315,0.539666062,0.950907588,-2.073643398,-1
458,MODEL1,PARMS,LMB,1.374070559,8.420137882,0.403718222,1.320716277,-2.582774635,-1
459,MODEL1,PARMS,LMB,1.360476914,7.335533019,0.704249829,0.190749678,-0.674458561,-1
460,MODEL1,PARMS,LMB,1.394323511,8.22108699,0.412375722,1.278990331,-2.573368698,-1
461,MODEL1,PARMS,LMB,1.348993703,8.30334514,0.458815386,0.476883654,-0.923321811,-1
462,MODEL1,PARMS,LMB,1.431157232,8.878056294,0.282316682,2.014503813,-4.050519003,-1
463,MODEL1,PARMS,LMB,1.34655398,8.087803252,0.472632211,1.010999124,-1.942643991,-1
464,MODEL1,PARMS,LMB,1.345477951,7.624860529,0.611633634,0.120032948,-0.37531544,-1
465,MODEL1,PARMS,LMB,1.347107031,8.729767708,0.305734363,1.766567679,-3.352031517,-1
466,MODEL1,PARMS,LMB,1.326784314,9.134161814,0.192103662,2.175338111,-3.984684084,-1
467,MODEL1,PARMS,LMB,1.364052975,7.154743711,0.703709013,0.110818087,-0.277483716,-1
468,MODEL1,PARMS,LMB,1.360566808,6.946461845,0.809835191,-0.344892052,0.292212133,-1
469,MODEL1,PARMS,LMB,1.425423267,8.594545149,0.310960234,1.62320313,-2.867854716,-1
470,MODEL1,PARMS,LMB,1.341830194,7.51436426,0.691206206,-0.772856247,1.332361574,-1
471,MODEL1,PARMS,LMB,1.346672347,6.747295827,0.883363445,-1.187621003,1.839660171,-1
