SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB10
934,MODEL1,PARMS,RB10,0.782526111,2.338579137,0.486570141,-0.537819403,0.807946266,-1
935,MODEL1,PARMS,RB10,0.822965747,1.142496108,0.848896451,-1.819383974,2.698941076,-1
936,MODEL1,PARMS,RB10,0.848926134,3.228119917,0.284142624,-0.235737052,0.38228588,-1
937,MODEL1,PARMS,RB10,0.805993432,2.292373149,0.545285927,-1.107213069,1.734941987,-1
938,MODEL1,PARMS,RB10,0.76979673,2.488472585,0.473221976,-0.6549672,0.868759939,-1
939,MODEL1,PARMS,RB10,0.865839844,1.829326393,0.659413528,-1.519659291,2.521102783,-1
940,MODEL1,PARMS,RB10,0.792229844,2.304570193,0.52231202,-1.25183831,2.35897314,-1
941,MODEL1,PARMS,RB10,0.87993585,3.109245799,0.273096611,0.324905326,-0.684152278,-1
942,MODEL1,PARMS,RB10,0.839638083,3.18049369,0.315821996,-0.191924326,0.166181347,-1
943,MODEL1,PARMS,RB10,0.843974962,3.163555566,0.300022551,-0.369475281,0.784375955,-1
944,MODEL1,PARMS,RB10,0.792730924,2.428462011,0.490902999,-1.048481037,1.903695555,-1
945,MODEL1,PARMS,RB10,0.774433664,1.987994287,0.622556231,-1.226970758,1.934992221,-1
946,MODEL1,PARMS,RB10,0.80439074,3.458653719,0.253812711,-0.315752441,0.66493579,-1
947,MODEL1,PARMS,RB10,0.800929183,2.111175009,0.59315619,-1.285578273,2.072381283,-1
948,MODEL1,PARMS,RB10,0.824132056,3.022918082,0.354182748,-0.470197344,0.713873506,-1
949,MODEL1,PARMS,RB10,0.82994703,1.810469027,0.630577528,-0.729199406,0.781650895,-1
950,MODEL1,PARMS,RB10,0.800338765,3.692709804,0.139695921,0.334106559,-0.488488793,-1
951,MODEL1,PARMS,RB10,0.774862307,3.14884732,0.279305084,-0.076674542,0.012920805,-1
952,MODEL1,PARMS,RB10,0.82893136,3.009695612,0.323104976,-0.261511153,0.507907704,-1
953,MODEL1,PARMS,RB10,0.793465002,2.739925477,0.426410668,-0.733028723,1.130813488,-1
954,MODEL1,PARMS,RB10,0.78848524,2.39315286,0.502695,-0.874242115,1.406709815,-1
955,MODEL1,PARMS,RB10,0.818146772,2.325287281,0.547266304,-1.251976093,2.189129376,-1
956,MODEL1,PARMS,RB10,0.842566413,2.219056947,0.547651941,-0.907820509,1.314954311,-1
957,MODEL1,PARMS,RB10,0.827057748,1.73796624,0.665432686,-1.368296619,2.164809432,-1
958,MODEL1,PARMS,RB10,0.846744835,2.265153542,0.517782832,-0.667393305,0.859766273,-1
959,MODEL1,PARMS,RB10,0.730774931,1.81566206,0.660107744,-1.398407374,2.219509567,-1
960,MODEL1,PARMS,RB10,0.846014849,2.652506938,0.436966377,-0.889993519,1.656158519,-1
961,MODEL1,PARMS,RB10,0.817055741,3.229926487,0.309611514,-0.453164228,0.794702189,-1
962,MODEL1,PARMS,RB10,0.814923485,3.179283688,0.271259089,-0.017343136,-0.032026977,-1
963,MODEL1,PARMS,RB10,0.83280623,2.774954681,0.397841168,-0.504637779,0.836579657,-1
964,MODEL1,PARMS,RB10,0.80780692,2.437229881,0.498052517,-1.196882009,2.079971942,-1
965,MODEL1,PARMS,RB10,0.856366589,2.034448575,0.584206845,-0.91702153,1.314790906,-1
966,MODEL1,PARMS,RB10,0.788584101,2.273655454,0.509186223,-0.466374945,0.603250489,-1
967,MODEL1,PARMS,RB10,0.81161793,2.097585278,0.60111889,-1.663473586,2.892629543,-1
968,MODEL1,PARMS,RB10,0.810786505,2.893289686,0.335099444,0.295035933,-0.874099577,-1
969,MODEL1,PARMS,RB10,0.813912363,2.514322919,0.466080912,-0.825237164,1.4129818,-1
970,MODEL1,PARMS,RB10,0.764307176,2.717323108,0.4092716,-0.239637462,0.176180607,-1
971,MODEL1,PARMS,RB10,0.812090872,2.886218717,0.364896736,-0.584362957,0.950525079,-1
972,MODEL1,PARMS,RB10,0.858094241,2.401390469,0.48336999,-0.702937736,1.070424869,-1
973,MODEL1,PARMS,RB10,0.793015606,2.18365228,0.563685922,-0.711455324,0.821309862,-1
974,MODEL1,PARMS,RB10,0.782238321,3.107074589,0.315338,-0.059254804,-0.036529282,-1
975,MODEL1,PARMS,RB10,0.81074464,1.513231939,0.728008769,-1.88675882,3.118906948,-1
976,MODEL1,PARMS,RB10,0.797807517,2.912862719,0.356833116,-0.197092999,0.136395894,-1
977,MODEL1,PARMS,RB10,0.833600851,1.951939712,0.602024693,-1.063266162,1.634395448,-1
978,MODEL1,PARMS,RB10,0.769941884,3.486706277,0.210330198,0.316203173,-0.598011043,-1
979,MODEL1,PARMS,RB10,0.766818933,3.80313464,0.113196788,0.640356068,-1.169748367,-1
980,MODEL1,PARMS,RB10,0.793489063,2.849408862,0.364119786,-0.212964532,0.148981983,-1
981,MODEL1,PARMS,RB10,0.836021314,3.056430193,0.356206151,-0.593464677,0.963520447,-1
