SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RUL
101,MODEL1,PARMS,RUL,1.27514407,4.66509123,0.651633759,-1.295966372,2.180748406,-1
102,MODEL1,PARMS,RUL,1.197211981,4.040181977,0.788249995,-1.186058937,1.654077892,-1
103,MODEL1,PARMS,RUL,1.20301626,3.267894689,0.993375613,-1.907218429,3.059398899,-1
104,MODEL1,PARMS,RUL,1.28083707,4.95464467,0.516696046,-0.080543511,0.252320161,-1
105,MODEL1,PARMS,RUL,1.337191927,5.156495661,0.454709991,0.595899609,-1.349423652,-1
106,MODEL1,PARMS,RUL,1.318500242,4.904653814,0.5646183,-1.270135263,2.320844462,-1
107,MODEL1,PARMS,RUL,1.246070476,4.471377699,0.67252949,-1.042645392,1.556543983,-1
108,MODEL1,PARMS,RUL,1.139363898,5.293381916,0.408001202,0.380002163,-0.873690909,-1
109,MODEL1,PARMS,RUL,1.265354564,5.542210779,0.397239883,0.206948044,-0.514045036,-1
110,MODEL1,PARMS,RUL,1.25093491,6.715973781,0.02285314,2.064129926,-3.727389832,-1
111,MODEL1,PARMS,RUL,1.354245061,5.472196918,0.413464813,-0.064172362,0.032373964,-1
112,MODEL1,PARMS,RUL,1.301867482,5.539540441,0.385154577,0.189463185,-0.457816676,-1
113,MODEL1,PARMS,RUL,1.224523397,4.50986115,0.671003851,-0.953503411,1.459108283,-1
114,MODEL1,PARMS,RUL,1.372701133,5.339220802,0.392426725,0.246216321,-0.454282425,-1
115,MODEL1,PARMS,RUL,1.26600085,3.499924338,0.98447726,-2.48120064,3.98988029,-1
116,MODEL1,PARMS,RUL,1.225279724,4.958149043,0.5032315,0.220958814,-0.635828111,-1
117,MODEL1,PARMS,RUL,1.261184734,3.893950196,0.809060024,-1.304987746,2.101559041,-1
118,MODEL1,PARMS,RUL,1.308713519,6.144400678,0.212985109,0.459913681,-0.655264772,-1
119,MODEL1,PARMS,RUL,1.279213804,4.552686727,0.63879648,-0.531267912,0.751703035,-1
120,MODEL1,PARMS,RUL,1.251376383,4.806452564,0.569703619,-0.469074028,0.548513545,-1
121,MODEL1,PARMS,RUL,1.228173737,4.725841805,0.558604842,0.305512371,-1.106914899,-1
122,MODEL1,PARMS,RUL,1.238816556,5.540914216,0.396839865,0.672257548,-1.591171674,-1
123,MODEL1,PARMS,RUL,1.264984892,5.043119269,0.535565212,-0.615652048,0.905504102,-1
124,MODEL1,PARMS,RUL,1.179940394,4.486765117,0.631747938,-0.326563682,0.078180943,-1
125,MODEL1,PARMS,RUL,1.263552766,5.303207231,0.485959663,-0.480930147,0.690455514,-1
126,MODEL1,PARMS,RUL,1.219623063,5.161513409,0.436140303,0.284184174,-0.60308742,-1
127,MODEL1,PARMS,RUL,1.190436562,6.527758258,0.057660788,2.526480369,-4.741299476,-1
128,MODEL1,PARMS,RUL,1.287264,5.053988579,0.497637772,0.120621043,-0.593773735,-1
129,MODEL1,PARMS,RUL,1.243599363,4.76206526,0.590160602,-0.415039941,0.405814656,-1
130,MODEL1,PARMS,RUL,1.147460853,5.24027,0.465057028,-0.399351033,0.725674854,-1
131,MODEL1,PARMS,RUL,1.192733583,5.22782612,0.507515142,-0.768895644,1.39959132,-1
132,MODEL1,PARMS,RUL,1.279485708,5.787598842,0.330130981,0.580173821,-1.365036949,-1
133,MODEL1,PARMS,RUL,1.314363801,4.552655917,0.652037209,-0.113427442,-0.388703532,-1
134,MODEL1,PARMS,RUL,1.286900402,5.752619535,0.309514756,1.557450457,-3.45133139,-1
135,MODEL1,PARMS,RUL,1.194563852,4.767124231,0.566938957,-0.130083781,-0.146872587,-1
136,MODEL1,PARMS,RUL,1.292143877,5.252807974,0.49494611,-0.65518324,1.340143726,-1
137,MODEL1,PARMS,RUL,1.194680251,4.910400344,0.564717014,-0.801186595,1.257798903,-1
138,MODEL1,PARMS,RUL,1.184676072,5.985390055,0.226695742,1.117737247,-2.180350941,-1
139,MODEL1,PARMS,RUL,1.266584436,6.992785235,-0.061069945,2.112295697,-3.65125036,-1
140,MODEL1,PARMS,RUL,1.247355057,4.919011327,0.585515219,-1.159598377,2.081864356,-1
141,MODEL1,PARMS,RUL,1.181784137,5.816770891,0.329990632,0.342372674,-0.720857084,-1
142,MODEL1,PARMS,RUL,1.206074727,4.703835464,0.644067155,-1.696160945,3.226795638,-1
143,MODEL1,PARMS,RUL,1.243676322,6.067953148,0.230398918,0.854824313,-1.495533562,-1
144,MODEL1,PARMS,RUL,1.218275241,4.071740328,0.77966498,-0.940458534,1.383902858,-1
145,MODEL1,PARMS,RUL,1.271981772,5.673830145,0.333231113,0.188638005,-0.299247827,-1
146,MODEL1,PARMS,RUL,1.328044326,5.636975796,0.365267644,0.30667362,-0.579786925,-1
147,MODEL1,PARMS,RUL,1.238587847,5.15491778,0.518203168,-0.403554868,0.52106125,-1
148,MODEL1,PARMS,RUL,1.253908555,4.726737525,0.659274689,-1.08635003,1.80406908,-1
149,MODEL1,PARMS,RUL,1.342586717,5.541347241,0.424459721,-0.184015159,0.202377015,-1
150,MODEL1,PARMS,RUL,1.255467564,4.909323612,0.520081645,0.003607504,-0.301051047,-1
151,MODEL1,PARMS,RUL,1.271056861,6.317132369,0.190539876,0.711997261,-1.217332345,-1
152,MODEL1,PARMS,RUL,1.269073663,5.040973423,0.535947725,-0.217508546,0.051999221,-1
153,MODEL1,PARMS,RUL,1.294022896,5.372421809,0.446404928,0.217125488,-0.675612839,-1
154,MODEL1,PARMS,RUL,1.211414555,5.692566256,0.331875907,0.308929307,-0.648473308,-1
155,MODEL1,PARMS,RUL,1.344000616,5.527505465,0.323901046,1.528453576,-3.227811492,-1
156,MODEL1,PARMS,RUL,1.154537632,4.956262607,0.536808708,-0.117723918,-0.250899728,-1
157,MODEL1,PARMS,RUL,1.192117076,4.848870264,0.575235346,-0.592954873,0.8453042,-1
158,MODEL1,PARMS,RUL,1.335810154,4.81160915,0.605414717,-0.5686215,0.656642423,-1
159,MODEL1,PARMS,RUL,1.225141121,5.994453245,0.274750303,0.254985109,-0.464047424,-1
160,MODEL1,PARMS,RUL,1.214121592,5.019487886,0.511181507,-0.252608346,0.267172836,-1
161,MODEL1,PARMS,RUL,1.195230678,4.24209499,0.764302344,-1.598615086,2.433410922,-1
162,MODEL1,PARMS,RUL,1.312381561,5.778149284,0.32930405,0.817869149,-1.95063425,-1
163,MODEL1,PARMS,RUL,1.255582537,4.617372992,0.604737498,-0.340442969,0.410347901,-1
164,MODEL1,PARMS,RUL,1.330194463,5.393939923,0.391871022,1.298820618,-3.099804265,-1
165,MODEL1,PARMS,RUL,1.220513536,3.102736409,1.04650101,-2.103515533,3.387247988,-1
166,MODEL1,PARMS,RUL,1.344413897,4.536460765,0.662616532,-1.178964692,1.920366457,-1
167,MODEL1,PARMS,RUL,1.328664991,5.806029596,0.296812854,0.708320054,-1.365303871,-1
168,MODEL1,PARMS,RUL,1.290355843,5.857264435,0.286625729,0.317354247,-0.49802523,-1
169,MODEL1,PARMS,RUL,1.2311983,5.196736105,0.507450588,-0.609518347,0.968679131,-1
170,MODEL1,PARMS,RUL,1.354151286,6.148082912,0.151589065,2.054744318,-4.019543592,-1
171,MODEL1,PARMS,RUL,1.28272859,6.048569611,0.190917532,1.597453255,-2.979482567,-1
172,MODEL1,PARMS,RUL,1.278998328,5.348228203,0.436034436,-0.299833678,0.435507826,-1
173,MODEL1,PARMS,RUL,1.308108197,3.371184209,0.9488623,-1.540807034,2.137551573,-1
174,MODEL1,PARMS,RUL,1.158393504,4.873397591,0.53601129,0.710064522,-2.109518672,-1
175,MODEL1,PARMS,RUL,1.3659014,4.248756201,0.761462855,-1.453537596,2.389969691,-1
176,MODEL1,PARMS,RUL,1.254727667,4.890346924,0.514161988,0.356936883,-1.051631626,-1
177,MODEL1,PARMS,RUL,1.290091277,4.919606275,0.543557333,0.206203477,-0.897899901,-1
178,MODEL1,PARMS,RUL,1.228112239,5.120117063,0.478846315,0.27222917,-0.83738428,-1
179,MODEL1,PARMS,RUL,1.235936365,5.894114869,0.256131092,1.494965148,-3.096976149,-1
180,MODEL1,PARMS,RUL,1.279956114,6.088242962,0.248329753,0.820282068,-1.674300619,-1
181,MODEL1,PARMS,RUL,1.226433982,6.175706886,0.197999778,0.978518016,-1.729503884,-1
