SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RMB
596,MODEL1,PARMS,RMB,1.54331938,7.948622755,0.959464289,0.51204212,-1.362109613,-1
597,MODEL1,PARMS,RMB,1.607053262,8.937881715,0.779476673,0.409226065,-1.16687939,-1
598,MODEL1,PARMS,RMB,1.547683492,8.143524366,0.970236791,-0.721396248,0.887163468,-1
599,MODEL1,PARMS,RMB,1.684883439,10.62745011,0.283357065,2.110140194,-3.731313339,-1
600,MODEL1,PARMS,RMB,1.61631292,10.15449275,0.379741505,1.831827102,-3.362838397,-1
601,MODEL1,PARMS,RMB,1.614010089,9.182507198,0.696587233,0.362294015,-0.898507079,-1
602,MODEL1,PARMS,RMB,1.589031083,8.071686004,0.949385533,0.494699216,-1.705044136,-1
603,MODEL1,PARMS,RMB,1.590102131,8.102668542,0.978653943,-0.718022418,1.160148896,-1
604,MODEL1,PARMS,RMB,1.61514694,7.175337291,1.352726917,-3.081511115,5.230208889,-1
605,MODEL1,PARMS,RMB,1.581248133,8.244208615,0.979494276,-0.315056004,0.018701869,-1
606,MODEL1,PARMS,RMB,1.616056972,5.94606749,1.627262145,-3.3799674,5.587700503,-1
607,MODEL1,PARMS,RMB,1.585327282,9.411045621,0.594215902,1.398757599,-2.826207592,-1
608,MODEL1,PARMS,RMB,1.642491494,7.70137738,1.121769191,-1.275925796,1.914044362,-1
609,MODEL1,PARMS,RMB,1.618548883,7.662470114,1.094024613,-1.503806259,2.715687701,-1
610,MODEL1,PARMS,RMB,1.513491005,8.624330636,0.815726266,-0.001217034,-0.140208223,-1
611,MODEL1,PARMS,RMB,1.534781481,9.366166302,0.618904163,1.050465463,-2.173446662,-1
612,MODEL1,PARMS,RMB,1.566921355,7.689089424,1.064448097,-0.450571051,0.296432631,-1
613,MODEL1,PARMS,RMB,1.531919566,8.738655473,0.799366294,-0.274374165,0.445196777,-1
614,MODEL1,PARMS,RMB,1.68269324,7.413593822,1.18471919,-1.136747527,1.559014191,-1
615,MODEL1,PARMS,RMB,1.662670476,6.098822357,1.516513392,-2.404537281,3.840389821,-1
616,MODEL1,PARMS,RMB,1.634247988,8.022821672,1.05947084,-1.841308538,3.45976375,-1
617,MODEL1,PARMS,RMB,1.59640285,9.729487615,0.508945819,1.707757107,-3.350353868,-1
618,MODEL1,PARMS,RMB,1.551097007,9.44008747,0.567207589,0.571125609,-0.783278477,-1
